source,source_url,player_id,name,team,league,nationality,age,height,weight,main_position,overall_rating,rating_as_GK,rating_as_CB,rating_as_LB,rating_as_RB,rating_as_DMF,rating_as_CMF,rating_as_LMF,rating_as_RMF,rating_as_AMF,rating_as_LWF,rating_as_RWF,rating_as_SS,rating_as_CF,attacking_prowess,ball_control,dribbling,low_pass,lofted_pass,finishing,place_kicking,swerve,header,defensive_prowess,ball_winning,kicking_power,speed,explosive_power,body_control,physical_contact,jump,stamina,goalkeeping,catching,clearing,reflexes,coverage,weak_foot_usage,weak_foot_accuracy,form,injury_resistance
pesmaster,https://www.pesmaster.com/emerson-sheik/pes-2018/player/450/,450,73 Emerson Sheik,Ponte Preta,Brazilian League,Qatar,39,171,67,CF,,,,,,,,,,,,,,,75,77,70,64,77,60,70,,57,45,72,76,80,75,70,64,40,2,40,40,40,40,68,,,2,
pesmaster,https://www.pesmaster.com/a-hughes/pes-2018/player/745/,745,71 A. Hughes,Free,Position,Northern Ireland,38,183,78,CB,,,,,,,,,,,,,,,68,62,70,68,59,55,62,,82,78,69,59,57,69,81,73,40,2,40,40,40,40,71,,,1,
pesmaster,https://www.pesmaster.com/g-barry/pes-2018/player/811/,811,77 G. Barry,West Bromwich Albion,English League,England,36,183,78,DMF,,,,,,,,,,,,,,,77,69,80,77,67,76,74,,78,76,79,63,67,68,79,74,40,2,40,40,40,40,70,,,2,
pesmaster,https://www.pesmaster.com/quim/pes-2018/player/830/,830,70 Quim,CD Aves,Portugal League,Portugal,42,182,80,GK,,,,,,,,,,,,,,,65,56,65,66,45,45,45,,52,50,79,63,62,61,80,70,73,4,81,76,81,81,63,,,2,
pesmaster,https://www.pesmaster.com/casillas/pes-2018/player/852/,852,81 Casillas,FC Porto,Portugal League,Spain,36,185,84,GK,,,,,,,,,,,,,,,65,64,70,74,56,58,69,,69,62,82,71,68,62,86,86,89,1,82,82,91,90,70,,,1,
pesmaster,https://www.pesmaster.com/g-buffon/pes-2018/player/983/,983,89 G. Buffon,Juventus,Italian League,Italy,39,191,94,GK,,,,,,,,,,,,,,,65,66,70,77,45,60,45,,65,55,80,60,60,70,81,80,98,2,89,98,93,98,65,,,3,
pesmaster,https://www.pesmaster.com/b-lobont/pes-2018/player/1290/,1290,73 B. Lobonţ,Roma,Italian League,Romania,39,185,78,GK,,,,,,,,,,,,,,,54,53,55,55,51,52,54,,56,50,80,57,55,54,78,76,83,2,78,80,80,82,59,,,2,
pesmaster,https://www.pesmaster.com/ze-roberto/pes-2018/player/1638/,1638,75 Zé Roberto,Palmeiras,Brazilian League,Brazil,43,175,69,LB,,,,,,,,,,,,,,,77,76,82,83,76,74,76,,75,69,75,67,66,72,75,64,40,3,40,40,40,40,67,,,2,
pesmaster,https://www.pesmaster.com/l-butron/pes-2018/player/1664/,1664,69 L. Butrón,Alianza Lima,Other Teams (Latin America),Peru,40,184,70,GK,,,,,,,,,,,,,,,54,53,57,78,54,48,67,,73,54,75,64,65,60,77,71,80,1,75,75,78,78,58,,,2,
pesmaster,https://www.pesmaster.com/c-alvarez/pes-2018/player/1680/,1680,70 C. Álvarez,Universidad Católica,Chilean League,Chile,37,175,75,CB,,,,,,,,,,,,,,,64,62,68,66,50,57,57,,75,74,74,70,68,71,80,74,40,3,40,40,40,40,84,,,3,
pesmaster,https://www.pesmaster.com/r-santa-cruz/pes-2018/player/1697/,1697,77 R. Santa Cruz,Free,Position,Paraguay,36,191,82,CF,,,,,,,,,,,,,,,78,74,68,66,81,62,64,,,54,77,72,71,73,81,79,40,3,40,40,40,40,71,,,2,
pesmaster,https://www.pesmaster.com/p-da-silva/pes-2018/player/1700/,1700,76 P. Da Silva,Free,Position,Paraguay,37,180,76,CB,,,,,,,,,,,,,,,69,63,72,73,62,65,56,,81,84,80,73,67,60,84,74,40,3,40,40,40,40,75,,,3,
pesmaster,https://www.pesmaster.com/m-carrick/pes-2018/player/1938/,1938,80 M. Carrick,Manchester United,English League,England,36,188,74,DMF,,,,,,,,,,,,,,,80,73,89,87,68,62,66,,80,78,80,65,62,75,69,77,40,3,40,40,40,40,77,,,3,
pesmaster,https://www.pesmaster.com/n-burdisso/pes-2018/player/2315/,2315,75 N. Burdisso,Torino,Italian League,Argentina,36,182,81,CB,,,,,,,,,,,,,,,67,66,69,74,58,50,60,,,85,72,67,68,60,85,82,40,2,40,40,40,40,72,,,2,
pesmaster,https://www.pesmaster.com/e-kawashima/pes-2018/player/2489/,2489,74 E. Kawashima,FC Metz,Ligue 1,Japan,34,185,74,GK,,,,,,,,,,,,,,,59,58,60,67,50,45,47,,70,48,81,74,76,62,79,80,83,2,83,83,82,79,60,,,2,
pesmaster,https://www.pesmaster.com/pepe-reina/pes-2018/player/2506/,2506,83 Pepe Reina,Napoli,Italian League,Spain,35,188,92,GK,,,,,,,,,,,,,,,73,67,77,82,51,55,68,,69,56,85,69,74,75,85,84,88,2,88,85,93,90,67,,,3,
pesmaster,https://www.pesmaster.com/e-moretti/pes-2018/player/2542/,2542,77 E. Moretti,Torino,Italian League,Italy,36,183,80,CB,,,,,,,,,,,,,,,74,71,74,73,56,58,64,,80,82,73,74,73,68,79,76,40,3,40,40,40,40,77,,,2,
pesmaster,https://www.pesmaster.com/j-terry/pes-2018/player/2560/,2560,79 J. Terry,Aston Villa,English 2nd division,England,37,187,90,CB,,,,,,,,,,,,,,,66,55,70,63,48,58,56,,,88,72,61,58,77,90,79,40,2,40,40,40,40,73,,,2,
pesmaster,https://www.pesmaster.com/t-simons/pes-2018/player/2660/,2660,71 T. Simons,Club Brugge,Other European Teams,Belgium,41,186,79,DMF,,,,,,,,,,,,,,,70,62,76,73,59,68,67,,78,75,76,58,50,60,78,70,40,2,40,40,40,40,79,,,1,
pesmaster,https://www.pesmaster.com/c-rodriguez/pes-2018/player/2753/,2753,74 C. Rodríguez,C.A. Colón,Argentine League,Argentina,36,167,65,LB,,,,,,,,,,,,,,,70,73,67,71,68,60,64,,70,60,79,79,77,74,70,76,40,2,40,40,40,40,76,,,2,
pesmaster,https://www.pesmaster.com/s-camara/pes-2018/player/2951/,2951,74 S. Camara,Montpellier Hérault SC,Ligue 1,Senegal,35,174,75,CF,,,,,,,,,,,,,,,77,76,76,70,71,68,69,,56,46,78,76,75,72,74,80,40,3,40,40,40,40,78,,,3,
pesmaster,https://www.pesmaster.com/p-cech/pes-2018/player/3191/,3191,85 P. Čech,Arsenal,English League,Czech Republic,35,196,90,GK,,,,,,,,,,,,,,,62,42,65,63,42,60,43,,53,43,71,60,59,59,75,61,96,2,97,89,97,95,60,,,2,
pesmaster,https://www.pesmaster.com/c-kameni/pes-2018/player/3200/,3200,79 C. Kameni,Fenerbahçe SK,Other European Teams,Cameroon,33,186,86,GK,,,,,,,,,,,,,,,56,52,55,72,40,50,64,,56,53,78,62,65,64,70,87,86,2,85,84,87,87,69,,,2,
pesmaster,https://www.pesmaster.com/m-stekelenburg/pes-2018/player/3222/,3222,76 M. Stekelenburg,Everton,English League,Netherlands,35,197,92,GK,,,,,,,,,,,,,,,51,48,55,60,44,51,44,,67,42,81,62,59,62,87,84,87,2,83,85,84,75,65,,,2,
pesmaster,https://www.pesmaster.com/w-caballero/pes-2018/player/3272/,3272,78 W. Caballero,Chelsea,English League,Argentina,36,186,80,GK,,,,,,,,,,,,,,,50,42,53,58,41,51,53,,52,42,73,64,59,65,81,75,86,2,83,80,89,88,59,,,2,
pesmaster,https://www.pesmaster.com/j-oshea/pes-2018/player/3498/,3498,75 J. O'Shea,Sunderland,English 2nd division,Ireland,36,191,75,CB,,,,,,,,,,,,,,,74,65,70,71,48,55,66,,86,85,74,58,56,68,80,77,40,2,40,40,40,40,70,,,2,
pesmaster,https://www.pesmaster.com/j-defoe/pes-2018/player/3522/,3522,80 J. Defoe,Bournemouth,English League,England,35,171,65,CF,,,,,,,,,,,,,,,80,78,68,62,85,66,63,,45,41,86,77,79,86,65,74,40,4,40,40,40,40,72,,,3,
