position;n_samples;calibracion_activada;mae_media_before;mae_media_after;pct_error_le_1_before;pct_error_le_1_after;pct_error_le_2_before;pct_error_le_2_after;mae_decimal_before;mae_decimal_after;full_mae_media_after;full_pct_error_le_1_after;ajuste_maximo
GK;1551;True;0,7459807073954984;0,2315112540192926;94,85530546623794;99,03536977491962;99,35691318327974;100,0;0,7785423758330952;0,3426368906102524;0,22179239200515796;98,96840747904577;2,0
CB;2245;True;0,5657015590200446;0,43207126948775054;94,20935412026726;96,88195991091314;99,33184855233853;100,0;0,6131304769415413;0,48927609975197534;0,3643652561247216;98,88641425389754;2,0
LB;916;True;0,6793478260869565;0,4076086956521739;90,21739130434783;98,36956521739131;98,36956521739131;100,0;0,7290459276016434;0,4780877739707016;0,37336244541484714;98,7991266375546;2,0
RB;1009;True;0,6386138613861386;0,43564356435643564;93,06930693069307;99,5049504950495;99,00990099009901;100,0;0,6956220818953378;0,4929626709200186;0,34390485629335976;99,00891972249752;2,0
DMF;1052;True;0,9052132701421801;0,6824644549763034;82,46445497630332;90,04739336492891;92,41706161137441;97,6303317535545;0,9509324250649442;0,7495384369866264;0,5760456273764258;94,3916349809886;2,0
CMF;1536;True;0,7012987012987013;0,5162337662337663;90,9090909090909;95,77922077922078;98,37662337662337;100,0;0,7377723468714509;0,5488602673887574;0,45703125;96,875;2,0
LMF;338;True;0,5882352941176471;0,4411764705882353;92,64705882352942;97,05882352941177;100,0;100,0;0,5951122374074822;0,5236928986871325;0,27514792899408286;100,0;2,0
RMF;389;True;0,7564102564102564;0,5897435897435898;88,46153846153845;93,58974358974359;100,0;100,0;0,7124049318175136;0,6026417088856738;0,33676092544987146;98,7146529562982;2,0
AMF;930;True;0,6505376344086021;0,3817204301075269;90,32258064516128;98,9247311827957;98,38709677419355;100,0;0,721607258444805;0,4738814939133971;0,3473118279569892;98,81720430107526;2,0
LWF;516;True;0,8173076923076923;0,6057692307692307;88,46153846153845;98,07692307692307;98,07692307692307;100,0;0,823920231721909;0,6538296628264095;0,47093023255813954;97,48062015503875;2,0
RWF;540;True;0,75;0,5462962962962963;88,88888888888889;96,29629629629629;100,0;100,0;0,7758513141617558;0,6155940288455741;0,45555555555555555;97,4074074074074;2,0
SS;319;True;0,734375;0,578125;85,9375;95,3125;100,0;100,0;0,715518504658142;0,638484529509453;0,23197492163009403;99,68652037617555;2,0
CF;1703;True;0,5571847507331378;0,3870967741935484;92,37536656891496;99,41348973607037;100,0;100,0;0,6266389433341848;0,43930450247970887;0,3376394597768644;99,2953611274222;2,0
