grupo;jugadores;mae_decimal;rmse_decimal;mae_media;rmse_media;exactas_pct;error_<=1_pct;error_<=2_pct;error_max;sesgo_promedio;predice_de_mas;predice_de_menos
AMF;930;0,42532021015718535;0,5383939407075298;0,3473118279569892;0,6090712125322324;66,45161290322581;98,81720430107526;100,0;2,0;0,005376344086021506;157;155
CB;2245;0,44175648160449243;0,5703340963566774;0,3643652561247216;0,6282155588798388;64,81069042316258;98,88641425389754;99,9554565701559;5,0;-0,0026726057906458797;393;397
CF;1703;0,40584002243434314;0,5113760264523418;0,3376394597768644;0,5930701790078645;66,94069289489136;99,2953611274222;100,0;2,0;0,007633587786259542;286;277
CMF;1536;0,5159022560265355;0,699879076895288;0,45703125;0,7551903733496608;58,0078125;96,875;99,8046875;9,0;-0,014322916666666666;307;338
DMF;1052;0,6270621587627178;0,8010873798211592;0,5760456273764258;0,8432239417672993;48,57414448669202;94,3916349809886;99,42965779467681;3,0;0,019011406844106463;277;264
GK;1551;0,33984672338177974;0,4507173929267153;0,22179239200515796;0,49236596391733095;78,85235332043843;98,96840747904577;100,0;2,0;0,0051579626047711154;168;160
LB;916;0,453028601976579;0,5709446824327672;0,37336244541484714;0,630380767999592;63,864628820960704;98,7991266375546;100,0;2,0;-0,002183406113537118;162;169
LMF;338;0,37791294890596916;0,4853714568290383;0,27514792899408286;0,5245454498840714;72,48520710059172;100,0;100,0;1,0;0,008875739644970414;48;45
LWF;516;0,5294871516693096;0,6706027383016252;0,47093023255813954;0,7326811758373192;55,81395348837209;97,48062015503875;99,6124031007752;3,0;0,005813953488372093;115;113
RB;1009;0,4218404159609042;0,5439416678972411;0,34390485629335976;0,606375117360054;66,69970267591675;99,00891972249752;99,90089197224975;3,0;-0,014866204162537165;158;178
RMF;389;0,40386382290432354;0,513555014831345;0,33676092544987146;0,6020530427826999;67,60925449871465;98,7146529562982;100,0;2,0;-0,028277634961439587;58;68
RWF;540;0,5086642562273506;0,6415840109079302;0,45555555555555555;0,7175059684872418;57,22222222222222;97,4074074074074;99,81481481481481;3,0;0,003703703703703704;115;116
SS;319;0,3416048707215606;0,4462077816852913;0,23197492163009403;0,48810297490036164;77,11598746081505;99,68652037617555;100,0;2,0;0,006269592476489028;37;36
