ID;Nombre;Equipo;Liga;Nacionalidad;Posición;media_real;media_decimal;media;error;error_abs;error_decimal;error_decimal_abs;rango_media_real;prediction_status
60980;R. Álvarez;Colo Colo;Chilean League;Chile;CMF;50;59,36083197864943;59;9;9;9,36083197864943;9,36083197864943;00-59;ok_calibrated
104337;J. Gomez;Liverpool;English League;England;CB;70;74,83872220868761;75;5;5;4,838722208687614;4,838722208687614;70-79;ok_calibrated
116275;Tarek Hamed;Free;;Egypt;DMF;70;73,26162958241899;73;3;3;3,2616295824189905;3,2616295824189905;70-79;ok_calibrated
263024;G. Deleuze;European Classics;Classic Teams;France;DMF;86;89,03090150874539;89;3;3;3,030901508745387;3,030901508745387;80-89;ok_calibrated
101981;D. Altobelli;Pro Vercelli;Italian 2nd division;Italy;CMF;64;66,95609219213695;67;3;3;2,95609219213695;2,95609219213695;60-69;ok_calibrated
103613;Mikel Merino;Newcastle United;English League;Spain;DMF;74;76,92308101562011;77;3;3;2,923081015620113;2,923081015620113;70-79;ok_calibrated
110051;A. Issoko;Vitória Setúbal;Portugal League;Congo DR;RWF;70;72,83611677405871;73;3;3;2,836116774058709;2,836116774058709;70-79;ok_calibrated
106570;Marciel;SC Corinthians Paulista;Brazilian League;Brazil;CMF;67;69,79192142168156;70;3;3;2,7919214216815647;2,7919214216815647;60-69;ok_calibrated
113405;T. Arnold;Liverpool;English League;England;RB;71;73,71857881546647;74;3;3;2,718578815466472;2,718578815466472;70-79;ok_calibrated
63504;F. Sporkslede;NAC Breda;Eredivisie;Netherlands;DMF;69;71,63526685406485;72;3;3;2,6352668540648523;2,6352668540648523;60-69;ok_calibrated
63076;A. Bastía;C.A. Colón;Argentine League;Argentina;DMF;69;71,62722885341505;72;3;3;2,6272288534150476;2,6272288534150476;60-69;ok_calibrated
34104;R. Azofeifa;Free;;Costa Rica;DMF;76;73,4583701240093;73;-3;3;-2,5416298759906937;2,5416298759906937;70-79;ok_calibrated
108728;G. Díaz;Defensa y Justicia;Argentine League;Argentina;LWF;72;69,45934380962228;69;-3;3;-2,5406561903777174;2,5406561903777174;70-79;ok_calibrated
59749;Y. Bolasie;Everton;English League;Congo DR;LWF;81;78,48186336324007;78;-3;3;-2,518136636759934;2,518136636759934;80-89;ok_calibrated
113285;J. Geis;Sevilla FC;Spanish League;Germany;DMF;78;75,5938481496074;76;-2;2;-2,406151850392604;2,406151850392604;70-79;ok_calibrated
57311;A. Durante;Free;;New Zealand;CB;59;61,394740203155;61;2;2;2,3947402031550027;2,3947402031550027;00-59;ok_calibrated
59966;M. Bešić;Middlesbrough;English 2nd division;Bosnia and Herzegovina;DMF;76;78,35579659459533;78;2;2;2,3557965945953327;2,3557965945953327;70-79;ok_calibrated
263116;S. Pagliuca;European Classics;Classic Teams;Italy;CF;84;86,32130266396582;86;2;2;2,321302663965824;2,321302663965824;80-89;ok_calibrated
116651;M. Halstenberg;Rasen Ballsport Leipzig;Other European Teams;Germany;LB;78;75,71572984582178;76;-2;2;-2,284270154178216;2,284270154178216;70-79;ok_calibrated
54262;B. Ferstl;Almchendolf;PEU League;Germany;CMF;67;69,27219021771373;69;2;2;2,272190217713728;2,272190217713728;60-69;ok_calibrated
63383;C. Doukouré;Levante UD;Spanish League;Côte d'Ivoire;DMF;74;71,73152432244618;72;-2;2;-2,2684756775538233;2,2684756775538233;70-79;ok_calibrated
117907;K. Sarfo;Malmö FF;Other European Teams;Ghana;CMF;65;67,26661409077855;67;2;2;2,266614090778546;2,266614090778546;60-69;ok_calibrated
113911;F. Valverde;Deportivo La Coruña;Spanish League;Uruguay;CMF;71;73,25379002510444;73;2;2;2,2537900251044363;2,2537900251044363;70-79;ok_calibrated
47934;J. Duma;Antofagasta;Chilean League;Argentina;LWF;68;70,20772597674392;70;2;2;2,207725976743916;2,207725976743916;60-69;ok_calibrated
59835;R. Guerreiro;Borussia Dortmund;Other European Teams;Portugal;CMF;80;77,80259367598273;78;-2;2;-2,1974063240172654;2,1974063240172654;80-89;ok_calibrated
46491;Thiago Xavier;Valenciennes FC;Ligue 2;Brazil;DMF;65;67,17515913381673;67;2;2;2,1751591338167344;2,1751591338167344;60-69;ok_calibrated
325171;S. Ventura;World Classics;Classic Teams;Argentina;LWF;85;82,82617862733058;83;-2;2;-2,1738213726694227;2,1738213726694227;80-89;ok_calibrated
35324;Åhman-Persson;Belenenses;Portugal League;Sweden;DMF;71;68,8280728745386;69;-2;2;-2,1719271254613943;2,1719271254613943;70-79;ok_calibrated
100123;Fernando Seoane;CD Lugo;Spanish 2nd division;Spain;DMF;72;69,86374007412483;70;-2;2;-2,1362599258751658;2,1362599258751658;70-79;ok_calibrated
