ID;Nombre;Posición;media
1664;J. Bisanz;LMF;69
1680;D. Ayala;DMF;70
1697;R. Santa Cruz;CF;69
3613;E. Diouf;LB;77
3673;F. Gattoni;GK;50
4007;M. Da Luz;RMF;68
4039;Fábio;GK;83
4188;M. Schwartz;AMF;60
4278;A. Theate;CB;76
4414;K. Sibo;DMF;71
4522;C. Ronaldo;CF;83
4583;F. Sanguinetti;GK;68
4882;J. Milner;CMF;74
4884;J. Bogle;RB;75
5417;L. Acosta;AMF;77
5518;Raúl Albiol;CB;74
6089;Marinho;RWF;70
6265;H. Valdimarsson;GK;70
6317;N. Čavlina;GK;65
6480;A. Baroja;GK;69
6526;L. Podolski;AMF;71
6577;S. Pavlović;CB;76
6621;S. Perilli;GK;68
6959;Yuri Lara;DMF;69
7305;J. Elordi;LB;70
7318;S. Chergui;CB;72
7474;Nenê;AMF;72
7506;Alfon;LWF;76
7511;L. Messi;RWF;86
7802;L. Lima;CMF;62
7806;M. Satriano;CF;75
7814;Dante;CB;74
7823;André Silva;CF;72
7857;P. Pagis;LWF;73
7873;Y. Fofana;CMF;79
8770;Pedro Cobra;GK;60
8823;P. Guerrero;CF;71
8849;E. Mancuso;RB;74
8959;D. Padelli;GK;66
9041;J. Herrando;CB;73
9087;X. Schlager;CMF;72
9121;A. Rogel;CB;70
9205;Fabri;CF;69
9211;J. Piroe;CF;75
9226;Pichu Cuéllar;GK;68
9238;M. Ramírez;CMF;63
9332;W. Rivera;CF;59
9375;Santi Cazorla;CMF;76
9379;L. Chevalier;GK;83
9416;H. Leite;GK;71
9452;J. Tchatchoua;RMF;73
11034;Éder;CB;65
15794;K. Ogawa;CF;69
15814;Y. Nagatomo;LB;70
16346;K. Mitoma;LWF;83
16728;T. Asano;RWF;75
16794;A. Benedyczak;LWF;67
16851;T. Minamino;AMF;77
30012;I. Ilić;CMF;75
30074;Egiluz;CB;70
30117;M. Capasso;CB;73
30163;A. Benítez;RMF;70
31018;Daniel Borges;RB;66
31044;R. Falcao;CF;72
31308;F. Baldassarra;CMF;67
32021;E. Agbadou;CB;77
32156;G. Lacerda;CB;64
32262;A. Circati;CB;72
32353;L. Otávio;CB;67
32386;J. Ruddy;GK;71
32440;J. Kusi-Asare;CF;62
32470;Bruno Gomes;RB;74
32475;E. Batalla;RMF;70
32549;J. Insúa;GK;58
32561;T. Noslin;RWF;73
32566;Dieguinho;RB;70
32568;A. Galeano;RWF;73
32694;Dani Cárdenas;GK;75
32780;G. Arias;GK;73
32919;Paulo Henrique;RB;74
33041;Yan Couto;RB;77
33073;Zé Pedro;CB;72
33075;L. De Silvestri;RB;72
33107;M. Bakker;LB;74
33185;M. Neuer;GK;84
33250;Mario Gila;CB;80
33266;R. Araújo;CB;79
33290;Bruno Alves;CB;63
33301;S. Nanasi;LMF;74
33302;Z. Lucas;DMF;72
33473;Osvaldo;LWF;68
33604;C. Cásseres;CMF;74
33669;Jemmes;CB;73
33735;Carlos Álvarez;RWF;78
33817;Hudson;DMF;65
33874;F. Aursnes;CMF;79
33878;C. Faya;CMF;65
33887;S. Lovrić;CMF;72
33909;L. Perez;DMF;70
33915;J. Gittens;LWF;78
34098;L. Modrić;CMF;83
34102;G. Ochoa;GK;71
34135;A. Nusa;LWF;69
34437;L. Fabianski;GK;75
34484;Iker Muñoz;DMF;72
34514;A. Minda;RWF;74
34638;Á. Montero;GK;78
34704;A. Petit Dol;CB;60
34781;A. Meyer;GK;75
34797;I. Malcorra;AMF;75
34813;M. Arnautović;CF;69
34848;Z. Aboukhlal;RWF;75
34850;Juninho;CB;68
34881;L. Suárez;CF;77
34882;J. Timber;RB;82
34939;R. Pablo;RWF;65
34979;B. Siegrist;GK;71
34986;T. Nnadi;CMF;65
34991;M. Sales;DMF;68
