ID;Nombre;Posición;media
141;A. Thomasson;CMF;66
1664;J. Bisanz;LMF;62
1680;D. Ayala;DMF;63
1697;R. Santa Cruz;CF;65
3613;E. Diouf;LB;68
3673;F. Gattoni;GK;45
4007;M. Da Luz;RMF;61
4039;Fábio;GK;78
4188;M. Schwartz;AMF;58
4414;K. Sibo;DMF;63
4522;C. Ronaldo;CF;79
4583;F. Sanguinetti;GK;68
4882;J. Milner;CMF;66
4884;J. Bogle;RB;67
5417;L. Acosta;AMF;75
5518;Raúl Albiol;CB;69
6089;Marinho;RWF;63
6265;H. Valdimarsson;GK;65
6317;N. Čavlina;GK;67
6480;A. Baroja;GK;69
6526;L. Podolski;AMF;69
6577;S. Pavlović;CB;71
6621;S. Perilli;GK;65
6959;Yuri Lara;DMF;61
7305;J. Elordi;LB;62
7318;S. Chergui;CB;65
7474;Nenê;AMF;69
7506;Alfon;LWF;66
7511;L. Messi;RWF;77
7802;L. Lima;CMF;56
7806;M. Satriano;CF;69
7814;Dante;CB;69
7823;André Silva;CF;69
7857;P. Pagis;LWF;66
7873;Y. Fofana;CMF;71
8770;Pedro Cobra;GK;61
8823;P. Guerrero;CF;67
8849;E. Mancuso;RB;65
8959;D. Padelli;GK;62
9041;J. Herrando;CB;67
9121;A. Rogel;CB;63
9205;Fabri;CF;62
9211;J. Piroe;CF;68
9226;Pichu Cuéllar;GK;64
9238;M. Ramírez;CMF;57
9332;W. Rivera;CF;56
9375;Santi Cazorla;CMF;70
9379;L. Chevalier;GK;80
9416;H. Leite;GK;68
9452;J. Tchatchoua;RMF;64
11034;Éder;CB;61
16346;K. Mitoma;LWF;74
16728;T. Asano;RWF;66
16794;A. Benedyczak;LWF;60
16851;T. Minamino;AMF;74
30012;I. Ilić;CMF;67
30074;Egiluz;CB;65
30117;M. Capasso;CB;66
30163;A. Benítez;RMF;60
31018;Daniel Borges;RB;58
31044;R. Falcao;CF;65
31308;F. Baldassarra;CMF;60
32021;E. Agbadou;CB;73
32156;G. Lacerda;CB;59
32262;A. Circati;CB;66
32353;L. Otávio;CB;62
32386;J. Ruddy;GK;66
32440;J. Kusi-Asare;CF;57
32470;Bruno Gomes;RB;65
32475;E. Batalla;RMF;62
32549;J. Insúa;GK;59
32561;T. Noslin;RWF;66
32566;Dieguinho;RB;60
32568;A. Galeano;RWF;66
32694;Dani Cárdenas;GK;70
32780;G. Arias;GK;70
32919;Paulo Henrique;RB;65
33041;Yan Couto;RB;68
33073;Zé Pedro;CB;66
33075;L. De Silvestri;RB;65
33107;M. Bakker;LB;66
33185;M. Neuer;GK;77
33250;Mario Gila;CB;75
33266;R. Araújo;CB;73
33290;Bruno Alves;CB;58
33301;S. Nanasi;LMF;66
33302;Z. Lucas;DMF;62
33473;Osvaldo;LWF;62
33604;C. Cásseres;CMF;66
33669;Jemmes;CB;67
33735;Carlos Álvarez;RWF;69
33817;Hudson;DMF;58
33878;C. Faya;CMF;58
33887;S. Lovrić;CMF;65
33909;L. Perez;DMF;62
33915;J. Gittens;LWF;68
34098;L. Modrić;CMF;77
34437;L. Fabianski;GK;72
34484;Iker Muñoz;DMF;65
