ID;Nombre;Posición;media
1664;J. Bisanz;LMF;67
1680;D. Ayala;DMF;69
1697;R. Santa Cruz;CF;68
3613;E. Diouf;LB;78
3673;F. Gattoni;GK;50
4007;M. Da Luz;RMF;67
4039;Fábio;GK;80
4188;M. Schwartz;AMF;61
4278;A. Theate;CB;77
4414;K. Sibo;DMF;71
4522;C. Ronaldo;CF;84
4583;F. Sanguinetti;GK;69
4882;J. Milner;CMF;73
4884;J. Bogle;RB;75
5417;L. Acosta;AMF;77
5518;Raúl Albiol;CB;74
6089;Marinho;RWF;70
6265;H. Valdimarsson;GK;68
6317;N. Čavlina;GK;66
6480;A. Baroja;GK;69
6526;L. Podolski;AMF;70
6577;S. Pavlović;CB;77
6621;S. Perilli;GK;66
6959;Yuri Lara;DMF;67
7305;J. Elordi;LB;69
7318;S. Chergui;CB;69
7474;Nenê;AMF;71
7506;Alfon;LWF;75
7511;L. Messi;RWF;86
7802;L. Lima;CMF;62
7806;M. Satriano;CF;74
7814;Dante;CB;74
7823;André Silva;CF;71
7857;P. Pagis;LWF;72
7873;Y. Fofana;CMF;81
8770;Pedro Cobra;GK;60
8823;P. Guerrero;CF;71
8849;E. Mancuso;RB;73
8959;D. Padelli;GK;64
9041;J. Herrando;CB;74
9087;X. Schlager;CMF;73
9121;A. Rogel;CB;69
9205;Fabri;CF;68
9211;J. Piroe;CF;74
9226;Pichu Cuéllar;GK;66
9238;M. Ramírez;CMF;62
9332;W. Rivera;CF;60
9375;Santi Cazorla;CMF;74
9379;L. Chevalier;GK;82
9416;H. Leite;GK;71
9452;J. Tchatchoua;RMF;72
11034;Éder;CB;66
15794;K. Ogawa;CF;68
15814;Y. Nagatomo;LB;69
16346;K. Mitoma;LWF;81
16728;T. Asano;RWF;74
16794;A. Benedyczak;LWF;66
16851;T. Minamino;AMF;77
30012;I. Ilić;CMF;74
30074;Egiluz;CB;69
30117;M. Capasso;CB;72
30163;A. Benítez;RMF;69
31018;Daniel Borges;RB;66
31044;R. Falcao;CF;71
31308;F. Baldassarra;CMF;66
32021;E. Agbadou;CB;78
32156;G. Lacerda;CB;64
32262;A. Circati;CB;72
32353;L. Otávio;CB;66
32386;J. Ruddy;GK;68
32440;J. Kusi-Asare;CF;62
32470;Bruno Gomes;RB;72
32475;E. Batalla;RMF;69
32549;J. Insúa;GK;58
32561;T. Noslin;RWF;72
32566;Dieguinho;RB;69
32568;A. Galeano;RWF;73
32694;Dani Cárdenas;GK;72
32780;G. Arias;GK;72
32919;Paulo Henrique;RB;74
33041;Yan Couto;RB;76
33073;Zé Pedro;CB;72
33075;L. De Silvestri;RB;70
33107;M. Bakker;LB;74
33185;M. Neuer;GK;82
33250;Mario Gila;CB;81
33266;R. Araújo;CB;80
33290;Bruno Alves;CB;63
33301;S. Nanasi;LMF;73
33302;Z. Lucas;DMF;72
33473;Osvaldo;LWF;68
33604;C. Cásseres;CMF;73
33669;Jemmes;CB;72
33735;Carlos Álvarez;RWF;77
33817;Hudson;DMF;64
33874;F. Aursnes;CMF;81
33878;C. Faya;CMF;64
33887;S. Lovrić;CMF;72
33909;L. Perez;DMF;70
33915;J. Gittens;LWF;79
34098;L. Modrić;CMF;83
34102;G. Ochoa;GK;69
34135;A. Nusa;LWF;69
34437;L. Fabianski;GK;73
34484;Iker Muñoz;DMF;72
34514;A. Minda;RWF;73
34638;Á. Montero;GK;76
34704;A. Petit Dol;CB;59
34781;A. Meyer;GK;74
34797;I. Malcorra;AMF;74
34813;M. Arnautović;CF;68
34848;Z. Aboukhlal;RWF;74
34850;Juninho;CB;67
34881;L. Suárez;CF;77
34882;J. Timber;RB;83
34939;R. Pablo;RWF;64
34979;B. Siegrist;GK;69
34986;T. Nnadi;CMF;65
34991;M. Sales;DMF;67
35031;H. Guirassy;LWF;69
35033;G. Kamara;DMF;72
35124;Ó. Trejo;AMF;70
35138;F. Ugrinić;CMF;75
35199;M. Fernandes;DMF;70
35200;L. Mouton;CMF;72
35226;Rafa Obrador;LB;68
35250;É. Banega;CMF;73
35252;M. Ruben;CF;70
35324;Kauan Faria;CB;59
35477;E. Cavani;CF;72
35479;M. Di Gregorio;GK;80
35492;S. Moore;GK;66
35876;Azpilicueta;CB;76
35880;J. Sosa;CMF;72
36156;Daniel Fuzato;GK;66
36336;M. Amarfil;CMF;70
36627;Y. Sommer;GK;85
36665;J. Vásquez;CB;75
36671;A. Šemper;GK;71
36703;D. Ospina;GK;74
36706;S. Moya;CB;62
36714;A. Vidal;CMF;69
36718;A. Sánchez;CF;74
36727;F. Muslera;GK;79
36768;F. Forster;GK;71
36776;Riccieli;CB;69
36821;H. Barcos;CF;73
36862;Ó. Cardozo;CF;69
36878;Raúl Fernández;GK;71
36912;R. Bentancourt;CF;68
36943;Cássio;GK;75
36945;Fagner;RB;70
36949;S. Romero;GK;71
37005;L. Gueye;RWF;64
37030;Arguibide;RB;62
37053;João Victor;CB;70
37087;F. Minerva;LMF;60
37106;Á. Di María;RWF;82
37140;M. Darmian;RB;77
37149;A. Desábato;GK;70
37151;J. Beyer;CB;72
37260;Keiller;GK;64
37277;Unai Gómez;AMF;72
37289;J. Steele;GK;73
37304;C. Stuani;CF;74
37337;M. Isla;RB;69
37356;Guga;RB;70
37377;A. Catena;CB;77
37391;M. Araújo;CMF;67
37398;Reinaldo;LB;73
37401;A. Kabar;LB;64
37405;M. Alexandre;RB;65
37437;A. García Basso;CB;71
37496;P. Tachtsidis;DMF;69
37506;J. García;GK;65
37510;M. Zalazar;LMF;65
37511;F. Roncaglia;CB;68
37518;J. Hurtado;RB;71
37522;Nuno Moreira;LWF;72
37602;A. Seyral;CB;61
37638;E. Džeko;CF;72
37715;T. Barry;CF;75
37827;A. Witsel;CB;75
37846;Richardson;DMF;67
37862;C. Toselli;GK;67
37874;Marcos Victor;CB;65
37901;T. Rincón;DMF;69
37976;B. Bertinato;GK;63
38112;Y. Neyou;CMF;74
38115;L. Acosta;AMF;69
38175;Ademir;RWF;72
38179;A. Sangante;CB;73
38187;G. Prado;RMF;66
38192;Cleiton;GK;71
38199;Emerson Royal;RB;73
38269;M. Carrizo;RMF;73
38274;D. Moreno;CF;74
38288;E. Muñoz;CB;69
38292;I. Andrada;RB;64
38297;Willian;LMF;71
38352;D. Welbeck;CF;80
38365;A. Dramisino;AMF;64
38374;T. Rodríguez;RWF;64
38390;Lucas Freitas;CB;66
38403;S. Ferreira;CF;71
38422;Anthoni;GK;69
38439;I. Perišić;LMF;80
38475;P. Sučić;DMF;77
38509;R. Bochi;DMF;68
38534;F. Miguel;GK;68
38539;K. Quetant;CF;64
38540;S. Coulibaly;CB;72
38567;Pedro;RWF;77
38568;S. Busquets;DMF;79
38627;O. Giroud;CF;77
38630;V. Guaita;GK;76
38640;J. González;GK;65
38685;B. Dadín;CF;74
38743;Y. Valois;CF;65
38771;V. Nelsson;CB;73
38778;G. Marinelli;GK;67
38779;Parejo;CMF;79
38797;D. Blind;CB;76
38807;R. Sam;CB;65
38810;Lucas Ramon;RB;71
38812;A. Osella;CB;66
38816;João Gomes;CMF;77
38831;Tomazella;GK;63
38852;Z. Savva;RWF;58
38858;S. El Shaarawy;LWF;77
38863;I. Villalba;CB;67
38891;O. Bevan;CB;62
38951;A. Hernández;CF;73
39173;T. Silva;CB;82
39178;D. Tabibou;CMF;67
39238;C. Gallagher;CMF;79
39239;S. Jaurena;CMF;65
39268;R. Cherki;AMF;83
39270;J. Hato;LB;77
39278;Ó. Ustari;GK;74
39301;B. Fadiga;CMF;64
39339;Rafael Thyere;CB;66
39441;A. Hickey;RB;74
39469;L. Valenti;CB;69
39673;André Luís;CF;71
39687;T. Porra;AMF;66
39699;G. Medel;CB;70
39706;A. Segovia;RMF;64
39719;S. Rondón;CF;73
39786;C. Lampe;GK;72
39798;A. Corzo;CB;68
39801;Y. Herrera;CMF;80
39804;M. Silva;GK;69
39913;T. Sanusi;LWF;63
39936;H. Mkhitaryan;CMF;82
40002;R. Lewandowski;CF;85
