ID;Nombre;Posición;media
1664;J. Bisanz;LMF;69
1680;D. Ayala;DMF;70
1697;R. Santa Cruz;CF;69
3613;E. Diouf;LB;77
3673;F. Gattoni;GK;50
4007;M. Da Luz;RMF;67
4039;Fábio;GK;84
4188;M. Schwartz;AMF;61
4278;A. Theate;CB;76
4414;K. Sibo;DMF;72
4522;C. Ronaldo;CF;85
4583;F. Sanguinetti;GK;70
4882;J. Milner;CMF;74
4884;J. Bogle;RB;75
5417;L. Acosta;AMF;78
5518;Raúl Albiol;CB;75
6089;Marinho;RWF;69
6265;H. Valdimarsson;GK;70
6317;N. Čavlina;GK;65
6480;A. Baroja;GK;69
6526;L. Podolski;AMF;72
6577;S. Pavlović;CB;77
6621;S. Perilli;GK;68
6959;Yuri Lara;DMF;69
7305;J. Elordi;LB;70
7318;S. Chergui;CB;71
7474;Nenê;AMF;72
7506;Alfon;LWF;75
7511;L. Messi;RWF;87
7802;L. Lima;CMF;61
7806;M. Satriano;CF;75
7814;Dante;CB;75
7823;André Silva;CF;72
7857;P. Pagis;LWF;73
7873;Y. Fofana;CMF;79
8770;Pedro Cobra;GK;60
8823;P. Guerrero;CF;72
8849;E. Mancuso;RB;74
8959;D. Padelli;GK;67
9041;J. Herrando;CB;74
9087;X. Schlager;CMF;72
9121;A. Rogel;CB;69
9205;Fabri;CF;68
9211;J. Piroe;CF;75
9226;Pichu Cuéllar;GK;68
9238;M. Ramírez;CMF;63
9332;W. Rivera;CF;59
9375;Santi Cazorla;CMF;77
9379;L. Chevalier;GK;83
9416;H. Leite;GK;72
9452;J. Tchatchoua;RMF;73
11034;Éder;CB;66
15794;K. Ogawa;CF;68
15814;Y. Nagatomo;LB;69
16346;K. Mitoma;LWF;83
16728;T. Asano;RWF;75
16794;A. Benedyczak;LWF;67
16851;T. Minamino;AMF;77
30012;I. Ilić;CMF;74
30074;Egiluz;CB;70
30117;M. Capasso;CB;73
30163;A. Benítez;RMF;70
31018;Daniel Borges;RB;66
31044;R. Falcao;CF;72
31308;F. Baldassarra;CMF;66
32021;E. Agbadou;CB;78
32156;G. Lacerda;CB;64
32262;A. Circati;CB;72
32353;L. Otávio;CB;67
32386;J. Ruddy;GK;70
32440;J. Kusi-Asare;CF;62
32470;Bruno Gomes;RB;74
32475;E. Batalla;RMF;70
32549;J. Insúa;GK;57
32561;T. Noslin;RWF;73
32566;Dieguinho;RB;70
32568;A. Galeano;RWF;73
32694;Dani Cárdenas;GK;74
32780;G. Arias;GK;73
32919;Paulo Henrique;RB;74
33041;Yan Couto;RB;77
33073;Zé Pedro;CB;72
33075;L. De Silvestri;RB;71
33107;M. Bakker;LB;74
33185;M. Neuer;GK;84
33250;Mario Gila;CB;80
33266;R. Araújo;CB;79
33290;Bruno Alves;CB;63
33301;S. Nanasi;LMF;74
33302;Z. Lucas;DMF;71
33473;Osvaldo;LWF;68
33604;C. Cásseres;CMF;73
33669;Jemmes;CB;73
33735;Carlos Álvarez;RWF;77
33817;Hudson;DMF;64
33874;F. Aursnes;CMF;80
33878;C. Faya;CMF;64
33887;S. Lovrić;CMF;72
33909;L. Perez;DMF;70
33915;J. Gittens;LWF;80
34098;L. Modrić;CMF;84
34102;G. Ochoa;GK;71
34135;A. Nusa;LWF;69
34437;L. Fabianski;GK;74
34484;Iker Muñoz;DMF;72
34514;A. Minda;RWF;74
34638;Á. Montero;GK;78
34704;A. Petit Dol;CB;60
34781;A. Meyer;GK;75
34797;I. Malcorra;AMF;74
34813;M. Arnautović;CF;69
34848;Z. Aboukhlal;RWF;74
34850;Juninho;CB;68
34881;L. Suárez;CF;79
34882;J. Timber;RB;82
34939;R. Pablo;RWF;64
34979;B. Siegrist;GK;71
34986;T. Nnadi;CMF;65
34991;M. Sales;DMF;68
