ID;Nombre;Posición;media
450;Emerson Sheik;CF;73
745;A. Hughes;CB;71
811;G. Barry;DMF;77
830;Quim;GK;70
852;Casillas;GK;81
983;G. Buffon;GK;89
1290;B. Lobonţ;GK;73
1638;Zé Roberto;LB;75
1664;L. Butrón;GK;69
1680;C. Álvarez;CB;70
1697;R. Santa Cruz;CF;77
1700;P. Da Silva;CB;76
1938;M. Carrick;DMF;80
2315;N. Burdisso;CB;75
2489;E. Kawashima;GK;74
2506;Pepe Reina;GK;83
2542;E. Moretti;CB;77
2560;J. Terry;CB;79
2660;T. Simons;DMF;71
2753;C. Rodríguez;LB;74
2951;S. Camara;CF;74
3191;P. Čech;GK;85
3200;C. Kameni;GK;79
3222;M. Stekelenburg;GK;76
3272;W. Caballero;GK;78
3498;J. O'Shea;CB;75
3522;J. Defoe;CF;80
3544;Borja Fernández;DMF;70
3581;G. Loovens;CB;70
3582;R. van Persie;CF;79
3603;D. De Rossi;DMF;83
3604;A. Aquilani;CMF;76
3605;C. Bovo;CB;74
3673;G. Lux;GK;74
3684;J. Gandolfi;CB;73
3688;A. Domínguez;AMF;75
3690;M. López;CF;74
3712;C. Tevez;CF;80
3726;J. Herrera;GK;75
3741;Joaquín;RWF;82
3848;V. Enyeama;GK;82
3876;J. Villar;GK;75
3882;S. Abreu;CF;72
3889;W. Ayoví;LB;74
3968;R. Weidenfeller;GK;78
3978;Edu Dracena;CB;75
3997;A. Robben;RWF;89
4006;S. Taylor;GK;68
4012;P. Crouch;CF;75
4013;P. Evra;LB;80
4016;J. Plašil;CMF;76
4019;C. Carrasso;GK;78
4039;Fábio;GK;76
4059;M. Brighi;CMF;73
4063;D. Bonera;CB;75
4070;F. Navarro;LB;75
4071;T. Motta;DMF;81
4073;Iniesta;CMF;87
4152;W. Rooney;AMF;80
4193;F. Coloccini;CB;74
4208;Fernando Torres;CF;81
4288;J. Bréchet;CB;73
4294;F. Balmont;CMF;73
4295;R. Vercoutre;GK;74
4320;F. Coppola;GK;68
4325;C. Terzi;CB;73
4339;D. Dainelli;CB;76
4376;S. Pellissier;CF;75
4395;A. Caracciolo;CF;72
4410;D. Pizarro;DMF;74
4412;Felipe;CB;77
4414;S. Muntari;DMF;74
4499;Ricardo Costa;CB;73
4522;C. Ronaldo;LWF;94
4526;R. Quaresma;RWF;79
4541;O. Deschacht;CB;73
4556;T. Sivok;CB;73
4565;V. Demirel;GK;76
4616;R. Rotan;CMF;76
4636;D. Srna;RB;79
4655;B. Cesar;CB;76
4738;A. Berezutski;CB;74
4739;S. Ignashevich;CB;75
4747;L. González;CMF;75
4761;A. Aguilar;DMF;74
4769;Luisão;CB;79
4871;V. Di Cesare;CB;69
4872;R. Huth;CB;77
4882;J. Milner;LB;80
4884;G. Johnson;RB;76
4918;W. Sneijder;AMF;82
4920;R. Zwinkels;GK;72
4928;A. Rosina;SS;71
4929;A. Gilardino;CF;74
4949;A. Mcgregor;GK;74
4953;A. Hutton;RB;73
4993;C. Baird;RB;75
5009;A. Yahia;CB;75
5069;M. Pinilla;CF;76
5404;D. Fletcher;CMF;76
5417;A. Le Tallec;CF;68
5428;A. Mirante;GK;75
5430;A. Lennon;RWF;74
5434;G. Whelan;DMF;76
5440;M. Borriello;CF;77
5451;D. Marney;CMF;71
5490;A. Gamberini;CB;77
5503;S. García;SS;78
5508;F. Agliardi;GK;70
5518;Albiol;CB;82
5537;A. Barzagli;CB;86
5538;J. Pinola;CB;76
5576;H. Yebda;CMF;74
5582;B. Bergougnoux;AMF;66
5583;F. Clerc;RB;73
5584;N. Mäenpää;GK;68
5603;D. Gastaldello;CB;76
5673;Tiago Gomes;LB;75
5770;V. Kompany;CB;85
5778;I. Akinfeev;GK;80
5847;Renato;DMF;79
5848;Luís Fabiano;CF;74
6080;S. Schaars;DMF;79
6089;G. Coutinho;GK;70
6093;R. Haemhouts;AMF;69
6150;D. Boer;GK;72
6182;A. Kruiswijk;LB;71
6220;A. Hadouir;AMF;74
6245;J. Hooiveld;CB;68
6259;R. Babel;LWF;77
6263;T. Vermaelen;CB;79
6265;I. Afellay;AMF;77
6334;D. Benaglio;GK;78
6408;P. Mertesacker;CB;79
6500;S. Riether;RB;73
6566;I. Abate;RB;78
6577;M. Domizzi;CB;71
6593;S. Farelli;GK;58
6621;A. Floro Flores;CF;72
6633;R. Palladino;LWF;74
6645;M. Canini;CB;70
6653;R. Montolivo;DMF;77
6657;G. Pazzini;CF;77
6693;G. Pandev;SS;73
6701;F. Brienza;SS;71
6864;Ahmed Fathy;CMF;71
6976;R. Gíslason;RMF;70
7030;M. Silvestre;CB;76
7038;P. Álvarez;RB;74
7043;P. Ledesma;CMF;73
7045;N. Cardozo;CMF;71
7054;D. Montenegro;AMF;74
7056;J. Mascherano;CB;82
7066;C. Nasuti;CB;74
7068;Artur Moraes;GK;71
7069;Gomes;GK;77
7084;Felipe Melo;DMF;80
7117;P. Guiñazú;DMF;74
7170;D. Jones;CMF;73
7174;B. Jones;GK;76
7181;S. Downing;LMF;73
7199;G. O'Neil;CMF;69
7238;Iraizoz;GK;77
7303;Gabi;CMF;83
7305;Toché;CF;74
7312;Dani Alves;RB;84
7327;Jesús Navas;RMF;78
7329;Sergio Ramos;CB;88
7330;A. Bizzarri;GK;74
7435;L. Ponzio;DMF;79
7461;César Arzo;CB;68
7474;Nenê;AMF;76
7484;Ramis;CB;76
7506;José Jurado;LWF;79
7507;Juanfran;RB;82
7511;L. Messi;RWF;94
7642;Hilton;CB;78
7697;C. Varrault;CB;71
7704;Y. Hadji;CF;73
7771;L. Pionnier;GK;74
7781;Y. Pelé;GK;79
7782;M. Bodmer;DMF;75
7793;B. Sagna;RB;81
7806;J. Blayac;CF;69
7809;É. Didot;CMF;76
7814;Dante;CB;81
7817;J. Mathieu;CB;80
7823;S. Diarra;LWF;69
7836;M. Flamini;DMF;74
7840;S. Darbion;LMF;71
7841;B. Assou-Ekotto;LB;71
7845;S. Baradji;DMF;61
