2026-06-01 00:21:05,388 | INFO | __main__ | Modelo PES-like GK guardado (Ridge, MAE train 0.269)
2026-06-01 00:21:05,550 | INFO | __main__ | Modelo PES-like CB guardado (LinearRegression, MAE train 0.272)
2026-06-01 00:21:05,688 | INFO | __main__ | Modelo PES-like LB guardado (Ridge, MAE train 0.275)
2026-06-01 00:21:05,841 | INFO | __main__ | Modelo PES-like RB guardado (Ridge, MAE train 0.261)
2026-06-01 00:21:05,978 | INFO | __main__ | Modelo PES-like DMF guardado (LinearRegression, MAE train 0.283)
2026-06-01 00:21:06,114 | INFO | __main__ | Modelo PES-like CMF guardado (Ridge, MAE train 0.292)
2026-06-01 00:21:06,237 | INFO | __main__ | Modelo PES-like LMF guardado (LinearRegression, MAE train 0.251)
2026-06-01 00:21:06,383 | INFO | __main__ | Modelo PES-like RMF guardado (LinearRegression, MAE train 0.250)
2026-06-01 00:21:06,528 | INFO | __main__ | Modelo PES-like AMF guardado (ElasticNet, MAE train 0.282)
2026-06-01 00:21:06,648 | INFO | __main__ | Modelo PES-like LWF guardado (LinearRegression, MAE train 0.357)
2026-06-01 00:21:06,792 | INFO | __main__ | Modelo PES-like RWF guardado (Lasso, MAE train 0.371)
2026-06-01 00:21:06,919 | INFO | __main__ | Modelo PES-like SS guardado (Lasso, MAE train 0.310)
2026-06-01 00:21:07,064 | INFO | __main__ | Modelo PES-like CF guardado (LinearRegression, MAE train 0.264)
2026-06-01 00:21:07,162 | INFO | __main__ | Resultados guardados en D:\Agustín\Webs\Base-de-datos-main\Formula_Medias_PES2018\outputs
2026-06-01 00:24:23,435 | WARNING | __main__ | Se ignoran stats sin valor numerico o excluidas de la formula base: place_kicking, swerve
2026-06-01 00:24:23,589 | INFO | __main__ | Modelo PES-like GK guardado (Ridge, MAE train 0.270)
2026-06-01 00:24:23,734 | INFO | __main__ | Modelo PES-like CB guardado (Lasso, MAE train 0.422)
2026-06-01 00:24:23,879 | INFO | __main__ | Modelo PES-like LB guardado (Ridge, MAE train 0.448)
2026-06-01 00:24:24,006 | INFO | __main__ | Modelo PES-like RB guardado (Ridge, MAE train 0.395)
2026-06-01 00:24:24,151 | INFO | __main__ | Modelo PES-like DMF guardado (ElasticNet, MAE train 0.620)
2026-06-01 00:24:24,295 | INFO | __main__ | Modelo PES-like CMF guardado (Lasso, MAE train 0.457)
2026-06-01 00:24:24,410 | INFO | __main__ | Modelo PES-like LMF guardado (LinearRegression, MAE train 0.416)
2026-06-01 00:24:24,535 | INFO | __main__ | Modelo PES-like RMF guardado (Ridge, MAE train 0.446)
2026-06-01 00:24:24,693 | INFO | __main__ | Modelo PES-like AMF guardado (LinearRegression, MAE train 0.412)
