Id;Name;Shirt;Commentary;Country;Height;Weight;Age;Foot;PlayingStyle;POS;GK;CB;LB;RB;DMF;CMF;LMF;RMF;AMF;LWF;RWF;SS;CF;Attacking Prowess;Ball Control;Dribbling;Low Pass;Lofted Pass;Finishing;Place Kicking;Controlled Spin;Header;Defensive Prowess;Ball Winning;Kicking Power;Speed;Explosive Power;Body Control;Physical Contact;Jump;Goalkeeping;Catching;Clearing;Reflexes;Coverage;Stamina;Weak Foot Usage;Weak Foot Acc.;Form;Injury Resistance;P01;P02;P03;P04;P05;P06;P07;S01;S02;S03;S04;S05;S06;S07;S08;S09;S10;S11;S12;S13;S14;S15;S16;S17;S18;S19;S20;S21;S22;S23;S24;S25;S26;S27;S28;Celebration 1;Celebration 2;Drib. Hunching;Drib. Arm Move.;Run. Hunching;Run. Arm Move.;Corner Kicks;Free Kicks;Penalty Kick;Edit_Name;Edit_Basics;Edit_Position;Edit_Positions;Edit_Abilities;Edit_PlayerSkills;Edit_PlayingStyle;Edit_COMPlayingStyles;Edit_Movements;Edit_1;Edit_2;Edit_3;Edit_4;Edit_5;Value12;Value13;Value14;OverallStats
141;A. Thomasson;THOMASSON;141;13;177;72;32;False;15;5;0;0;0;0;1;2;2;2;2;1;1;1;1;71;76;75;76;75;69;69;70;60;60;66;74;68;69;73;65;66;40;40;40;40;40;78;2;3;5;2;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;True;False;False;False;False;False;False;False;True;False;False;False;True;False;False;0;0;1;6;2;3;1;1;1;False;False;True;True;True;True;True;True;True;False;False;False;False;False;0;-1;0;72
1664;J. Bisanz;BISANZ;58368;144;176;72;23;False;4;6;0;0;0;0;0;0;2;1;1;2;2;1;2;71;70;73;64;67;71;68;67;69;52;59;70;77;74;71;62;63;40;40;40;40;40;72;3;3;5;2;False;True;False;True;False;True;False;False;False;True;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;True;12;16;1;2;2;4;4;1;1;True;True;True;True;True;True;True;True;True;False;False;True;False;False;0;-1;0;66
1680;D. Ayala;AYALA;1680;144;170;62;23;True;8;4;0;0;0;0;2;1;0;0;0;0;0;0;0;59;72;69;77;70;55;58;61;67;74;75;64;72;73;75;65;68;40;40;40;40;40;73;2;1;5;2;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;True;58;58;1;5;1;8;1;1;3;True;True;True;True;True;True;True;True;True;False;False;False;False;False;0;-1;0;68
1697;R. Santa Cruz;SANTA CRUZ;1697;150;193;83;44;False;3;12;0;0;0;0;0;0;0;0;0;0;0;1;2;78;75;64;69;63;76;63;74;80;51;47;76;62;57;65;84;65;40;40;40;40;40;60;2;2;4;1;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;120;120;3;5;3;3;2;13;3;True;True;True;True;True;True;True;True;True;False;False;False;False;False;1;-1;0;70
3613;E. Diouf;DIOUF;3613;83;183;73;21;True;11;2;0;2;2;0;0;0;2;0;0;0;0;0;0;66;70;77;76;71;57;60;59;65;71;74;74;81;82;74;77;81;40;40;40;40;40;82;2;2;5;2;False;False;True;True;False;True;True;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;69;69;1;5;1;5;1;1;1;True;True;True;True;True;True;True;True;False;False;False;False;False;False;0;-1;0;77
3673;F. Gattoni;GATTONI;3673;144;186;78;25;False;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;53;65;70;73;84;57;64;57;74;79;79;81;80;73;79;76;81;40;40;40;40;40;77;2;2;4;2;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;0;0;1;4;1;1;1;1;1;True;True;True;True;True;True;True;True;True;False;False;False;False;False;0;-1;0;32
4007;M. Da Luz;DA LUZ;4007;152;174;73;31;False;1;7;0;0;0;0;0;0;2;2;0;1;2;1;2;72;70;72;63;62;70;58;60;70;45;46;69;79;81;71;67;73;40;40;40;40;40;69;2;3;5;2;True;False;True;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;97;97;1;4;1;5;3;1;1;True;True;True;True;True;True;True;True;True;False;False;False;False;False;0;-1;0;67
4039;Fábio;FABIO;4039;146;188;92;45;False;16;0;2;0;0;0;0;0;0;0;0;0;0;0;0;44;63;53;63;66;44;58;43;49;53;49;80;52;63;55;84;83;97;90;80;87;83;59;2;2;5;2;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;True;False;False;False;False;True;False;False;0;0;1;6;1;1;1;1;1;True;True;False;False;True;True;True;False;False;False;False;False;False;False;0;-1;0;78
4188;M. Schwartz;SCHWARTZ;4188;144;174;68;21;False;5;8;0;0;0;0;0;1;0;0;2;0;0;1;0;60;76;72;69;66;57;68;73;52;52;42;63;70;75;69;52;56;40;40;40;40;40;60;2;3;5;2;False;True;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;12;12;1;3;1;4;4;10;1;True;True;True;True;True;True;True;True;False;False;False;False;False;False;4;-1;0;63
4414;K. Sibo;SIBO;4414;64;182;72;27;False;8;4;0;0;0;0;2;2;0;0;1;0;0;0;0;62;69;67;74;72;61;55;56;66;66;73;73;68;75;68;78;70;40;40;40;40;40;85;2;2;5;2;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;2;2;1;5;1;2;1;1;1;True;True;True;True;True;True;True;True;True;False;False;False;False;False;0;-1;0;68
