position;model;train_size;validation_size;mae;mae_decimal;max_error;pct_error_le_1;pct_error_le_2
AMF;lasso;206;52;0,07692307692307693;0,24026870190460498;1,0;100,0;100,0
AMF;linear_regression;206;52;0,07692307692307693;0,24311337275414024;1,0;100,0;100,0
AMF;ridge;206;52;0,07692307692307693;0,24355050344236268;1,0;100,0;100,0
AMF;elastic_net;206;52;0,09615384615384616;0,24442247166747363;1,0;100,0;100,0
AMF;random_forest;206;52;0,75;0,8236684912309928;4,0;86,53846153846155;94,23076923076923
CB;lasso;492;124;0,03225806451612903;0,25062527684419555;1,0;100,0;100,0
CB;ridge;492;124;0,03225806451612903;0,252834895756137;1,0;100,0;100,0
CB;linear_regression;492;124;0,03225806451612903;0,25335807216336886;1,0;100,0;100,0
CB;elastic_net;492;124;0,04032258064516129;0,25002372594096056;1,0;100,0;100,0
CB;random_forest;492;124;0,8064516129032258;0,827273778976398;5,0;86,29032258064517;95,96774193548387
CF;linear_regression;336;84;0,011904761904761904;0,2224577428819555;1,0;100,0;100,0
CF;elastic_net;336;84;0,011904761904761904;0,2237028286391521;1,0;100,0;100,0
CF;ridge;336;84;0,023809523809523808;0,2229035537058535;1,0;100,0;100,0
CF;lasso;336;84;0,03571428571428571;0,22302060320239808;1,0;100,0;100,0
CF;random_forest;336;84;0,7976190476190477;0,8191208180873343;6,0;83,33333333333334;96,42857142857143
CMF;linear_regression;276;70;0,05714285714285714;0,2583920335795229;1,0;100,0;100,0
CMF;ridge;276;70;0,05714285714285714;0,25875738554349426;1,0;100,0;100,0
CMF;elastic_net;276;70;0,1;0,26037689359652355;1,0;100,0;100,0
CMF;lasso;276;70;0,12857142857142856;0,2655232656453223;1,0;100,0;100,0
CMF;random_forest;276;70;0,9;0,9364466656359546;4,0;80,0;95,71428571428572
DMF;lasso;262;66;0,09090909090909091;0,2614221379865799;1,0;100,0;100,0
DMF;elastic_net;262;66;0,10606060606060606;0,2616778476447754;1,0;100,0;100,0
DMF;ridge;262;66;0,13636363636363635;0,2631859335334655;1,0;100,0;100,0
DMF;linear_regression;262;66;0,13636363636363635;0,26350585766271506;1,0;100,0;100,0
DMF;random_forest;262;66;0,8181818181818182;0,8591493861777957;3,0;81,81818181818183;98,48484848484848
GK;lasso;291;73;0,0684931506849315;0,21029075920526755;1,0;100,0;100,0
GK;linear_regression;291;73;0,0684931506849315;0,21469454691722994;1,0;100,0;100,0
GK;ridge;291;73;0,0821917808219178;0,2168920839879633;1,0;100,0;100,0
GK;elastic_net;291;73;0,0821917808219178;0,22121992250588235;1,0;100,0;100,0
GK;random_forest;291;73;0,6575342465753424;0,718881164022429;3,0;89,04109589041096;95,8904109589041
LB;linear_regression;208;53;0,0;0,26606093836026484;0,0;100,0;100,0
LB;ridge;208;53;0,0;0,2665410189067592;0,0;100,0;100,0
LB;elastic_net;208;53;0,018867924528301886;0,270011030851263;1,0;100,0;100,0
LB;lasso;208;53;0,018867924528301886;0,2723160907234001;1,0;100,0;100,0
LB;random_forest;208;53;0,9245283018867925;0,967885967151296;4,0;81,13207547169812;96,22641509433963
LMF;linear_regression;95;24;0,125;0,2785227344552655;1,0;100,0;100,0
LMF;lasso;95;24;0,125;0,2786045088989537;1,0;100,0;100,0
LMF;ridge;95;24;0,125;0,2856588159894482;1,0;100,0;100,0
LMF;elastic_net;95;24;0,125;0,28651590640691627;1,0;100,0;100,0
LMF;random_forest;95;24;1,3333333333333333;1,3754748677248685;6,0;75,0;79,16666666666666
LWF;lasso;134;34;0,11764705882352941;0,2352644206731116;1,0;100,0;100,0
LWF;elastic_net;134;34;0,11764705882352941;0,2404014803773078;1,0;100,0;100,0
LWF;ridge;134;34;0,11764705882352941;0,2416783209089457;1,0;100,0;100,0
LWF;linear_regression;134;34;0,11764705882352941;0,2445231518723323;1,0;100,0;100,0
LWF;random_forest;134;34;0,7352941176470589;0,8679743018419499;5,0;88,23529411764706;94,11764705882352
RB;lasso;224;56;0,10714285714285714;0,27221799259340684;1,0;100,0;100,0
RB;elastic_net;224;56;0,10714285714285714;0,2758084143101765;1,0;100,0;100,0
RB;linear_regression;224;56;0,125;0,27587012470471706;1,0;100,0;100,0
RB;ridge;224;56;0,125;0,2762648538504951;1,0;100,0;100,0
RB;random_forest;224;56;1,1071428571428572;1,1154716666022437;4,0;67,85714285714286;89,28571428571429
RMF;ridge;91;23;0,043478260869565216;0,2533311709274615;1,0;100,0;100,0
RMF;elastic_net;91;23;0,043478260869565216;0,2571424866170591;1,0;100,0;100,0
RMF;lasso;91;23;0,043478260869565216;0,2663064098106519;1,0;100,0;100,0
