position;players;selected_model;train_size_for_model_selection;validation_size_for_model_selection;validation_mae;validation_mae_decimal;validation_max_error;validation_pct_error_le_1;validation_pct_error_le_2;all_data_mae;all_data_mae_decimal;all_data_max_error;all_data_pct_error_le_1;all_data_pct_error_le_2;warning
AMF;258;lasso;206;52;0,07692307692307693;0,24026870190460498;1,0;100,0;100,0;0,03488372093023256;0,24771286539647883;1,0;100,0;100,0;
CB;616;lasso;492;124;0,03225806451612903;0,25062527684419555;1,0;100,0;100,0;0,03409090909090909;0,25155673531430695;2,0;99,83766233766234;100,0;
CF;420;linear_regression;336;84;0,011904761904761904;0,2224577428819555;1,0;100,0;100,0;0,02857142857142857;0,24379306983982532;2,0;99,76190476190476;100,0;
CMF;346;linear_regression;276;70;0,05714285714285714;0,2583920335795229;1,0;100,0;100,0;0,02023121387283237;0,25312940831243025;1,0;100,0;100,0;
DMF;328;lasso;262;66;0,09090909090909091;0,2614221379865799;1,0;100,0;100,0;0,051829268292682924;0,26970924032598487;2,0;99,39024390243902;100,0;
GK;364;lasso;291;73;0,0684931506849315;0,21029075920526755;1,0;100,0;100,0;0,03571428571428571;0,23097382909837927;1,0;100,0;100,0;
LB;261;linear_regression;208;53;0,0;0,26606093836026484;0,0;100,0;100,0;0,022988505747126436;0,25470481749357127;1,0;100,0;100,0;
LMF;119;linear_regression;95;24;0,125;0,2785227344552655;1,0;100,0;100,0;0,025210084033613446;0,22669947749603941;1,0;100,0;100,0;
LWF;168;lasso;134;34;0,11764705882352941;0,2352644206731116;1,0;100,0;100,0;0,05952380952380952;0,23366686634589767;1,0;100,0;100,0;
RB;280;lasso;224;56;0,10714285714285714;0,27221799259340684;1,0;100,0;100,0;0,05357142857142857;0,24901108611395487;1,0;100,0;100,0;
RMF;114;ridge;91;23;0,043478260869565216;0,2533311709274615;1,0;100,0;100,0;0,02631578947368421;0,25981230512713965;1,0;100,0;100,0;
RWF;184;linear_regression;147;37;0,08108108108108109;0,3080190655353655;1,0;100,0;100,0;0,02717391304347826;0,2561772369176619;1,0;100,0;100,0;
SS;30;linear_regression;24;6;0,3333333333333333;0,5369957835602518;2,0;83,33333333333334;100,0;0,1;0,2700357598079653;1,0;100,0;100,0;
