<<<<<<< Updated upstream
Id;Name;Shirt;Commentary;Country;Height;Weight;Age;Foot;PlayingStyle;POS;GK;CB;LB;RB;DMF;CMF;LMF;RMF;AMF;LWF;RWF;SS;CF;Attacking Prowess;Ball Control;Dribbling;Low Pass;Lofted Pass;Finishing;Place Kicking;Controlled Spin;Header;Defensive Prowess;Ball Winning;Kicking Power;Speed;Explosive Power;Body Control;Physical Contact;Jump;Goalkeeping;Catching;Clearing;Reflexes;Coverage;Stamina;Weak Foot Usage;Weak Foot Acc.;Form;Injury Resistance;P01;P02;P03;P04;P05;P06;P07;S01;S02;S03;S04;S05;S06;S07;S08;S09;S10;S11;S12;S13;S14;S15;S16;S17;S18;S19;S20;S21;S22;S23;S24;S25;S26;S27;S28;Celebration 1;Celebration 2;Drib. Hunching;Drib. Arm Move.;Run. Hunching;Run. Arm Move.;Corner Kicks;Free Kicks;Penalty Kick;Edit_Name;Edit_Basics;Edit_Position;Edit_Positions;Edit_Abilities;Edit_PlayerSkills;Edit_PlayingStyle;Edit_COMPlayingStyles;Edit_Movements;Edit_1;Edit_2;Edit_3;Edit_4;Edit_5;Value12;Value13;Value14;OverallStats
1664;Juan Bisanz;BISANZ;58368;144;176;72;23;False;4;6;0;0;0;0;0;0;2;1;1;2;2;1;2;73;72;75;65;68;73;69;68;71;53;60;72;79;76;73;63;64;40;40;40;40;40;74;3;3;5;2;False;True;False;True;False;True;False;False;False;True;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;True;12;16;1;2;2;4;4;1;1;True;True;True;True;True;True;True;True;True;False;False;True;False;False;0;-1;0;69
1697;Roque Santa Cruz;SANTA CRUZ;1697;150;193;83;44;False;3;12;0;0;0;0;0;0;0;0;0;0;0;1;2;78;75;64;69;63;76;63;74;80;51;47;76;62;57;65;84;65;40;40;40;40;40;60;2;2;4;1;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;120;120;3;5;3;3;2;13;3;True;True;True;True;True;True;True;True;True;False;False;False;False;False;1;-1;0;70
3613;El Hadji Diouf;DIOUF;3613;83;183;73;21;True;11;2;0;2;2;0;0;0;2;0;0;0;0;0;0;65;69;76;75;70;56;59;58;64;70;73;73;80;81;74;76;80;40;40;40;40;40;81;2;2;5;2;False;False;True;True;False;True;True;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;69;69;1;5;1;5;1;1;1;True;True;True;True;True;True;True;True;False;False;False;False;False;False;0;-1;0;75
3673;Federico Gattoni;GATTONI;3673;144;186;78;25;False;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;53;65;70;73;84;57;64;57;74;79;79;81;80;73;79;76;81;40;40;40;40;40;77;2;2;4;2;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;0;0;1;4;1;1;1;1;1;True;True;True;True;True;True;True;True;True;False;False;False;False;False;0;-1;0;40
4039;Fábio;FABIO;4039;146;188;92;44;False;16;0;2;0;0;0;0;0;0;0;0;0;0;0;0;42;61;51;61;64;42;56;41;47;52;47;78;50;61;53;82;81;95;88;78;85;81;57;2;2;5;2;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;True;False;False;False;False;True;False;False;0;0;1;6;1;1;1;1;1;True;True;False;False;True;True;True;False;False;False;False;False;False;False;0;-1;0;75
4188;Mateo Schwartz;SCHWARTZ;4188;144;174;68;21;False;5;8;0;0;0;0;0;1;0;0;2;0;0;1;0;60;76;72;69;66;57;68;73;52;52;42;63;70;75;69;52;56;40;40;40;40;40;60;2;3;5;2;False;True;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;12;12;1;3;1;4;4;10;1;True;True;True;True;True;True;True;True;False;False;False;False;False;False;4;-1;0;63
4414;Kwasi Sibo;SIBO;4414;64;182;72;27;False;8;4;0;0;0;0;2;2;0;0;1;0;0;0;0;63;70;69;76;74;62;56;57;67;67;74;74;69;76;69;79;71;40;40;40;40;40;86;2;2;5;2;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;2;2;1;5;1;2;1;1;1;True;True;True;True;True;True;True;True;True;False;False;False;False;False;0;-1;0;70
4522;Cristiano Ronaldo;RONALDO;4522;228;187;85;40;False;1;12;0;0;0;0;0;0;2;2;1;2;2;2;2;90;85;78;74;74;85;71;77;89;42;42;92;79;78;68;76;94;40;40;40;40;40;72;3;4;5;3;True;True;True;True;False;False;True;True;False;False;True;True;False;True;True;True;True;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;True;109;21;3;8;3;4;4;8;3;True;True;True;True;True;True;True;True;True;False;False;False;False;False;0;-1;0;85
4583;Facundo Sanguinetti;SANGUINETTI;4583;144;185;71;24;False;17;0;2;0;0;0;0;0;0;0;0;0;0;0;0;42;53;49;57;59;41;53;45;51;53;49;73;66;65;57;73;82;79;69;72;82;81;54;3;2;5;2;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0;0;1;3;1;1;1;1;1;True;True;True;True;True;True;True;True;True;False;False;False;False;False;0;-1;0;67
4882;James Milner;MILNER;4882;204;175;70;39;False;7;5;0;0;2;2;2;2;1;1;1;0;0;0;0;67;78;75;79;81;62;64;75;54;72;73;80;69;65;72;67;62;40;40;40;40;40;77;2;3;5;1;False;False;True;False;True;True;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;True;False;True;False;False;False;False;False;False;True;True;False;True;62;62;2;6;2;3;3;1;3;True;True;True;True;True;True;True;True;False;False;False;False;False;False;0;-1;0;74
4884;Jayden Bogle;BOGLE;-1;204;178;69;25;False;11;3;0;1;0;2;0;0;0;2;0;0;0;0;0;64;72;75;70;74;62;59;67;64;69;70;76;82;79;69;73;68;40;40;40;40;40;80;2;2;5;1;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;True;False;False;False;False;True;False;False;True;38;38;1;5;1;1;1;1;1;True;True;False;True;True;True;False;True;False;False;False;False;False;False;0;-1;0;74
5417;Luciano Acosta;ACOSTA;5417;144;160;59;31;False;6;8;0;0;0;0;0;1;0;0;2;0;0;2;1;78;83;87;78;77;71;73;75;58;51;55;68;69;85;90;56;57;40;40;40;40;40;84;3;3;5;2;False;True;False;False;False;False;True;False;False;True;False;True;False;False;True;False;False;False;False;True;True;False;False;False;True;False;False;False;False;False;False;False;True;False;False;49;49;1;4;2;2;1;1;1;True;True;True;True;True;True;True;True;False;False;False;False;False;False;0;-1;0;79
5518;Raúl Albiol;ALBIOL;5518;236;190;82;40;False;9;1;0;2;0;1;1;0;0;0;0;0;0;0;0;50;67;56;70;68;48;55;52;75;78;79;70;58;55;62;78;72;40;40;40;40;40;67;2;1;6;2;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;True;False;True;20;20;1;6;2;2;3;1;1;True;True;True;True;True;True;True;True;True;False;False;False;False;False;0;-1;0;70
6089;Marinho;MARINHO;6089;146;168;64;35;True;4;10;0;0;0;0;0;0;1;2;1;1;2;1;2;70;74;79;62;65;74;71;71;56;44;49;86;75;79;82;73;56;40;40;40;40;40;69;3;4;7;2;True;True;True;True;False;False;False;True;True;True;False;True;False;False;True;False;False;False;False;False;False;False;False;True;True;False;False;False;False;False;False;False;True;False;False;0;0;1;2;1;1;1;1;1;True;True;True;True;True;True;True;True;False;False;False;False;False;False;0;-1;0;70
6265;Hákon Valdimarsson;VALDIMARSSON;-1;213;188;78;24;False;17;0;2;0;0;0;0;0;0;0;0;0;0;0;0;47;57;48;57;60;47;57;52;51;49;68;81;57;59;61;83;70;81;76;81;83;84;62;2;2;5;2;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;66;66;1;6;1;1;1;1;1;True;True;True;True;True;True;True;True;True;False;False;False;False;False;0;-1;0;70
6317;Nikola Čavlina;CAVLINA;6317;200;185;74;23;False;16;0;2;0;0;0;0;0;0;0;0;0;0;0;0;40;48;46;53;54;40;47;45;50;49;46;67;51;54;59;67;72;66;65;63;67;66;44;2;1;5;2;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;15;15;1;3;2;5;5;1;1;True;True;True;True;True;True;True;True;True;False;False;False;False;False;0;-1;0;54
6480;Alain Baroja;BAROJA;6480;153;183;82;36;False;16;0;2;0;0;0;0;0;0;0;0;0;0;0;0;50;60;53;60;61;50;60;51;64;53;53;79;63;62;70;77;83;81;76;78;81;75;63;2;1;5;2;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;True;False;False;False;False;False;False;False;115;115;1;4;1;1;6;1;1;True;True;True;True;True;True;True;True;True;False;False;False;False;False;0;-1;0;69
6526;Lukas Podolski;PODOLSKI;6526;210;183;88;40;True;14;8;0;0;0;0;0;0;1;1;2;1;1;2;2;72;75;69;76;77;69;76;76;69;53;54;91;60;57;65;76;70;40;40;40;40;40;70;2;3;5;2;False;False;False;True;True;False;True;False;False;False;False;False;False;False;True;False;False;False;False;True;True;True;True;False;False;False;False;False;True;False;False;False;False;False;True;12;12;2;7;2;1;3;13;1;True;True;True;True;True;True;True;True;False;False;False;False;False;False;1;-1;0;68
6577;Strahinja Pavlović;PAVLOVIC;6577;303;195;85;24;True;15;1;0;2;0;0;0;0;0;0;0;0;0;0;0;60;72;69;72;74;56;57;59;86;84;84;69;75;63;57;94;86;40;40;40;40;40;76;1;1;5;3;False;False;False;False;True;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;True;3;3;1;5;1;5;3;2;4;True;True;True;True;True;True;True;True;True;False;False;False;False;False;2;-1;0;82
6621;Simone Perilli;PERILLI;6621;215;195;76;30;False;17;0;2;0;0;0;0;0;0;0;0;0;0;0;0;50;55;51;57;59;50;55;56;50;53;52;74;66;64;61;87;74;79;77;77;80;83;63;1;1;5;2;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;True;False;False;False;False;False;False;False;0;0;1;3;1;1;1;1;1;True;True;True;True;True;True;True;True;True;False;False;False;False;False;0;-1;0;69
7305;Juan Elordi;ELORDI;7305;144;176;70;30;True;11;2;0;0;2;0;0;0;1;0;0;0;0;0;0;60;71;74;63;66;62;58;65;64;64;69;76;72;76;70;64;69;40;40;40;40;40;77;2;3;5;2;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;20;20;2;4;1;3;3;1;1;True;True;True;True;True;True;True;True;False;False;False;False;False;False;0;-1;0;68
7474;Nenê;NENE;7474;146;181;70;44;True;5;8;0;0;0;0;0;1;2;2;2;1;1;2;1;69;80;74;78;81;76;77;80;62;45;46;77;57;60;76;67;57;40;40;40;40;40;66;3;4;6;2;True;False;False;False;True;False;True;False;True;True;True;False;False;False;False;False;False;False;False;True;True;True;True;False;True;False;False;False;True;False;False;False;False;False;False;71;71;1;5;1;3;1;10;4;True;True;False;True;True;True;False;True;False;False;False;False;False;False;0;-1;0;72
7506;Alfon González;ALFON;7506;236;172;60;26;False;4;6;0;0;0;0;0;0;2;2;1;2;2;1;2;76;78;82;67;69;76;68;67;62;54;55;78;84;82;79;62;65;40;40;40;40;40;79;1;2;5;2;False;False;True;True;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;1;1;1;5;1;5;5;1;1;True;True;True;True;True;True;True;True;False;False;False;False;False;False;0;-1;0;75
7511;Lionel Messi;MESSI;7511;144;170;72;38;True;14;11;0;0;0;0;0;0;0;2;2;0;2;2;2;87;94;96;91;80;86;95;94;50;43;48;76;68;86;95;58;49;40;40;40;40;40;73;1;3;6;2;True;True;True;True;False;True;False;False;False;False;False;True;False;False;True;False;False;False;True;True;True;False;False;False;False;False;False;False;False;False;False;False;True;False;False;100;71;2;8;1;5;5;6;3;True;True;True;True;True;True;False;True;True;False;False;False;False;False;2;-1;0;87
