Id;Name;Shirt;Commentary;Country;Height;Weight;Age;Foot;PlayingStyle;POS;GK;CB;LB;RB;DMF;CMF;LMF;RMF;AMF;LWF;RWF;SS;CF;Attacking Prowess;Ball Control;Dribbling;Low Pass;Lofted Pass;Finishing;Place Kicking;Controlled Spin;Header;Defensive Prowess;Ball Winning;Kicking Power;Speed;Explosive Power;Body Control;Physical Contact;Jump;Goalkeeping;Catching;Clearing;Reflexes;Coverage;Stamina;Weak Foot Usage;Weak Foot Acc.;Form;Injury Resistance;P01;P02;P03;P04;P05;P06;P07;S01;S02;S03;S04;S05;S06;S07;S08;S09;S10;S11;S12;S13;S14;S15;S16;S17;S18;S19;S20;S21;S22;S23;S24;S25;S26;S27;S28;Celebration 1;Celebration 2;Drib. Hunching;Drib. Arm Move.;Run. Hunching;Run. Arm Move.;Corner Kicks;Free Kicks;Penalty Kick;Edit_Name;Edit_Basics;Edit_Position;Edit_Positions;Edit_Abilities;Edit_PlayerSkills;Edit_PlayingStyle;Edit_COMPlayingStyles;Edit_Movements;Edit_1;Edit_2;Edit_3;Edit_4;Edit_5;Value12;Value13;Value14;OverallStats
141;T. KITAZAWA;KITAZAWA;141;13;170;67;25;False;7;5;0;0;0;0;1;2;1;2;1;0;0;0;0;74;78;74;75;77;72;73;69;71;73;75;80;78;80;79;71;76;40;40;40;40;40;90;2;3;7;2;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;0;0;1;6;2;3;1;1;1;False;False;True;True;True;True;True;True;True;False;False;False;False;False;0;-1;0;77
450;EMERSON SHEIK;EMERSON;450;30;171;67;39;False;1;12;0;0;0;0;0;0;2;1;0;2;1;2;2;80;75;77;70;64;77;60;70;66;57;45;72;76;80;75;70;64;40;40;40;40;40;68;2;3;4;2;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;35;35;3;6;3;1;1;1;1;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0;-1;0;74
745;A. HUGHES;HUGHES;745;225;183;78;38;False;0;1;0;2;0;1;0;0;0;0;0;0;0;0;0;56;68;62;70;68;59;55;62;80;82;78;69;59;57;69;81;73;40;40;40;40;40;71;2;2;4;1;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;13;13;1;4;1;1;1;1;1;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0;-1;0;74
811;G. BARRY;BARRY;811;204;183;78;36;True;8;4;0;1;1;0;2;2;1;1;1;0;0;0;0;68;77;69;80;77;67;76;74;72;78;76;79;63;67;68;79;74;40;40;40;40;40;70;2;3;7;2;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;True;False;True;4;4;3;6;3;5;1;1;1;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0;-1;0;74
815;D. BECKHAM;BECKHAM;815;204;183;76;27;False;5;7;0;0;0;0;2;2;0;2;1;0;1;0;0;88;85;80;93;99;86;99;96;66;73;71;86;76;81;78;79;70;40;40;40;40;40;85;1;2;8;3;False;False;False;False;True;True;False;False;False;False;False;False;False;False;True;False;False;False;False;False;True;True;False;False;False;False;False;False;False;False;False;False;True;False;False;1;1;1;8;3;8;3;4;1;False;False;False;False;False;False;False;False;False;False;False;False;False;False;1;-1;0;82
816;P. SCHOLES;SCHOLES;816;204;170;70;24;False;14;5;0;0;0;0;2;2;2;1;2;0;0;1;0;79;83;79;86;92;82;75;80;76;66;70;94;76;83;75;79;75;40;40;40;40;40;87;2;3;8;2;False;False;False;False;True;False;True;False;False;False;False;False;False;True;True;True;False;True;True;True;True;True;False;False;True;False;False;False;False;False;False;False;False;False;True;11;11;2;7;1;1;3;1;1;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0;-1;0;84
817;M. OWEN;OWEN;817;204;173;70;19;False;1;12;0;0;0;0;0;0;0;0;0;0;0;1;2;86;84;86;75;57;89;60;70;76;46;41;82;88;90;85;60;79;40;40;40;40;40;78;2;2;6;1;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;10;10;2;7;2;6;1;1;1;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0;-1;0;86
822;S. GERRARD;GERRARD;822;204;183;83;25;False;0;5;0;0;0;0;2;2;0;1;2;0;1;1;0;78;88;87;82;88;81;87;80;73;73;76;95;85;83;74;87;72;40;40;40;40;40;81;2;3;7;3;False;True;False;False;True;False;True;False;False;False;False;False;False;False;True;False;False;False;True;False;True;True;True;False;True;False;False;False;False;False;False;False;True;False;True;122;122;2;7;1;5;3;16;1;False;False;False;False;False;False;False;False;False;False;False;False;False;False;4;-1;0;86
824;S. MCMANAMAN;MCMANAMAN;824;204;183;67;26;False;0;6;0;0;0;0;0;2;2;2;2;1;1;2;0;75;84;90;77;79;78;79;71;67;62;47;82;82;87;85;73;74;40;40;40;40;40;85;2;3;7;2;True;True;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;True;True;False;True;False;False;False;False;False;False;True;False;False;False;False;False;False;64;64;2;6;1;3;1;1;1;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0;-1;0;81
830;QUIM;QUIM;830;228;182;80;42;False;17;0;2;0;0;0;0;0;0;0;0;0;0;0;0;41;65;56;65;66;45;45;45;60;52;50;79;63;62;61;80;70;73;81;76;81;81;63;4;4;7;2;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;True;0;0;1;5;1;1;1;1;1;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0;-1;0;67
