Id;Player 1;Player 2;Player 3;Player 4;Player 5;Player 6;Player 7;Player 8;Player 9;Player 10;Player 11;Player 12;Player 13;Player 14;Player 15;Player 16;Player 17;Player 18;Player 19;Player 20;Player 21;Player 22;Player 23;Player 24;Player 25;Player 26;Player 27;Player 28;Player 29;Player 30;Player 31;Player 32;Shirt number 1;Shirt number 2;Shirt number 3;Shirt number 4;Shirt number 5;Shirt number 6;Shirt number 7;Shirt number 8;Shirt number 9;Shirt number 10;Shirt number 11;Shirt number 12;Shirt number 13;Shirt number 14;Shirt number 15;Shirt number 16;Shirt number 17;Shirt number 18;Shirt number 19;Shirt number 20;Shirt number 21;Shirt number 22;Shirt number 23;Shirt number 24;Shirt number 25;Shirt number 26;Shirt number 27;Shirt number 28;Shirt number 29;Shirt number 30;Shirt number 31;Shirt number 32;Total Players
1;101100;40569;5434;8408;59767;44495;34626;39194;101267;3498;9428;36893;40701;101102;32668;33706;38358;38536;40283;42810;46931;47375;46975;54789;0;0;0;0;0;0;0;0;3;8;6;7;10;14;9;1;16;4;20;22;15;13;2;5;11;12;17;18;19;21;23;24;0;0;0;0;0;0;0;0;24
2;59897;35505;37967;101087;32139;104668;59965;7946;39206;55321;35508;35504;101086;745;39204;42808;106589;43054;116076;42657;39208;101091;111118;0;0;0;0;0;0;0;0;0;1;5;4;2;11;17;16;8;7;14;10;12;23;18;15;20;6;13;22;3;19;21;9;0;0;0;0;0;0;0;0;0;23
3;113863;42353;56154;112069;44766;114796;114163;101028;101838;116605;114147;58357;9534;296619;263001;264101;364901;59793;39441;297621;262984;104727;263027;376345;271329;322104;0;0;0;0;0;0;1;4;15;23;3;8;18;17;10;7;9;12;21;5;22;2;19;6;11;14;20;16;13;24;25;26;0;0;0;0;0;0;26
4;32135;9541;63287;39755;37293;45134;34461;44560;38082;35496;39245;45458;59158;44564;44565;63467;101080;39237;43296;102952;103511;46511;112106;0;0;0;0;0;0;0;0;0;1;19;5;6;2;4;16;7;10;11;18;21;12;17;3;20;15;14;8;13;23;9;22;0;0;0;0;0;0;0;0;0;23
5;47286;121948;42577;60523;108209;106591;108959;108693;110638;101291;47287;111450;108688;47785;42917;120355;114197;40295;118174;114906;59773;120368;118042;104865;107553;121334;0;0;0;0;0;0;1;2;6;24;3;8;4;7;11;10;9;13;23;5;15;12;25;14;17;21;20;18;19;26;16;22;0;0;0;0;0;0;26
6;47434;104496;111800;47787;117931;111071;118236;104226;117087;60512;4522;47215;60709;111975;111997;108696;118136;114268;104204;117702;119153;113729;105457;112733;107674;54756;0;0;0;0;0;0;1;14;3;20;25;15;23;10;18;8;7;22;12;4;13;2;5;24;21;26;17;16;11;6;19;9;0;0;0;0;0;0;26
7;106957;114620;47522;103008;116575;110815;108239;118381;117736;113608;116751;118340;47406;114762;119828;114695;101058;111935;108876;116207;43638;110902;110596;103613;114967;102742;0;0;0;0;0;0;23;22;14;5;24;16;8;20;19;17;7;1;13;4;12;2;3;18;9;11;15;10;21;6;25;26;0;0;0;0;0;0;26
8;60447;110774;116655;110784;111252;119782;47051;114018;114640;110626;110718;47529;112964;114975;104717;107954;45089;101334;114725;54675;39268;114284;108069;113356;110819;114577;0;0;0;0;0;0;16;17;4;5;19;8;14;11;20;7;10;1;23;15;21;2;3;13;18;25;24;12;9;26;6;22;0;0;0;0;0;0;26
9;44383;102549;4278;46647;113167;112212;59801;114003;101301;44379;40122;110667;114851;113241;37827;109500;117886;109019;117993;122264;113244;114457;119571;104419;118657;61031;0;0;0;0;0;0;1;2;3;15;5;24;8;11;10;7;9;12;13;4;6;16;21;18;23;22;20;14;17;25;19;26;0;0;0;0;0;0;26
10;110351;107719;44840;111986;113972;118335;108662;46951;122012;118274;46879;121306;111024;59766;118648;39270;46866;118664;63627;114845;117932;122728;114576;118316;114110;103142;0;0;0;0;0;0;1;6;4;22;15;8;21;24;11;14;10;13;23;5;2;25;3;12;26;7;18;17;19;20;16;9;0;0;0;0;0;0;26
