<<<<<<< Updated upstream
﻿Id;Country;Stadium;Coach;Type;Name;Abbreviation;StadiumName;StadiumFile;EmblemFile;Rival1;Rival2;Rival3;Banner1;Banner2;Banner3;Banner4;Turf Pattern;Sideline Colour;Seat Colour;Goal Style;Net Pattern;GoalNettingDesign;Team Color 1 R;Team Color 1 G;Team Color 1 B;Team Color 2 R;Team Color 2 G;Team Color 2 B;Kit1;Kit2;Kit3;Kit4;Kit5;Kit6;Kit7;Kit8;Kit9;Kit10;Emblem;Edit name;Edit emblem;Edit stadium;Edit stadium name;Edit stadium file;Edit stadium details;Edit rivals;Edit banners;Edit 1;Edit team colors;Edit coach;Edit kits;Value8;Value9;Value10;Value11;Value12;Value13
1;214;29;393489;2;IRLANDA;IRL;;;;262143;262143;262143;;;;;4;5;5;1;1;1;15;38;19;10;33;14;16384;16385;16512;-16384;-16384;-16384;-16384;-16384;-16384;-16384;-1;False;False;False;False;False;False;False;False;False;False;False;False;-1;-1;0;0;1;0
2;225;29;131344;2;IRLANDA DEL NORTE;NIR;;;;262143;262143;262143;;;;;2;1;8;1;1;1;0;32;0;63;63;63;32768;32769;32896;-16384;-16384;-16384;-16384;-16384;-16384;-16384;-1;False;False;False;False;False;False;False;False;False;False;False;True;-1;-1;0;0;1;0
3;232;29;393484;2;ESCOCIA;SCO;;;;262143;262143;262143;;;;;3;4;8;1;1;1;10;20;38;10;14;30;49152;49153;49280;-16384;-16384;-16384;-16384;-16384;-16384;-16384;-1;False;False;False;False;False;False;False;False;False;False;False;False;-1;-1;0;0;1;0
4;241;13;131342;2;GALES;WAL;;;;262143;262143;262143;;;;;3;1;4;1;1;1;55;10;12;13;37;22;65536;65537;65664;-16384;-16384;-16384;-16384;-16384;-16384;-16384;-1;False;False;False;False;False;False;False;False;False;False;False;True;-1;-1;0;0;1;0
5;204;13;232056;2;INGLATERRA;ENG;;;;262143;262143;262143;;;;;3;1;4;1;1;1;63;63;63;51;0;0;81920;81921;82048;-16384;-16384;-16384;-16384;-16384;-16384;-16384;-1;False;False;False;False;False;False;False;False;False;False;False;True;-1;-1;0;0;1;0
6;228;29;231350;2;PORTUGAL;PRT;;;;262143;262143;262143;;;;;2;6;4;1;1;1;44;2;4;7;28;19;98304;98305;98432;-16384;-16384;-16384;-16384;-16384;-16384;-16384;-1;False;False;False;False;False;False;False;False;False;False;False;True;-1;-1;0;0;1;0
7;236;29;131371;2;ESPAÑA;ESP;;;;262143;262143;262143;;;;;3;6;7;3;1;1;50;0;0;63;58;0;114688;114689;114816;-16384;-16384;-16384;-16384;-16384;-16384;-16384;-1;False;False;False;False;False;False;False;False;False;False;False;True;-1;-1;0;0;1;0
8;208;29;131212;2;FRANCIA;FRA;;;;262143;262143;262143;;;;;4;8;1;4;2;11;5;18;29;63;63;63;131072;131073;131200;-16384;-16384;-16384;-16384;-16384;-16384;-16384;-1;False;False;False;False;False;False;False;False;False;False;False;True;-1;-1;0;0;1;0
9;197;29;131073;2;BÉLGICA;BEL;;;;262143;262143;262143;;;;;5;2;8;1;2;1;57;0;0;63;53;0;147456;147457;147584;-16384;-16384;-16384;-16384;-16384;-16384;-16384;-1;False;False;False;False;False;False;False;False;False;False;False;True;-1;-1;0;0;1;0
10;224;13;231562;2;HOLANDA;NLD;;;;262143;262143;262143;;;;;3;5;4;1;1;1;63;22;0;63;63;63;163840;163841;163968;-16384;-16384;-16384;-16384;-16384;-16384;-16384;-1;False;False;False;False;False;False;False;False;False;False;False;True;-1;-1;0;0;1;0
