Id;Player 1;Player 2;Player 3;Player 4;Player 5;Player 6;Player 7;Player 8;Player 9;Player 10;Player 11;Player 12;Player 13;Player 14;Player 15;Player 16;Player 17;Player 18;Player 19;Player 20;Player 21;Player 22;Player 23;Player 24;Player 25;Player 26;Player 27;Player 28;Player 29;Player 30;Player 31;Player 32;Shirt number 1;Shirt number 2;Shirt number 3;Shirt number 4;Shirt number 5;Shirt number 6;Shirt number 7;Shirt number 8;Shirt number 9;Shirt number 10;Shirt number 11;Shirt number 12;Shirt number 13;Shirt number 14;Shirt number 15;Shirt number 16;Shirt number 17;Shirt number 18;Shirt number 19;Shirt number 20;Shirt number 21;Shirt number 22;Shirt number 23;Shirt number 24;Shirt number 25;Shirt number 26;Shirt number 27;Shirt number 28;Shirt number 29;Shirt number 30;Shirt number 31;Shirt number 32;Total Players
1;101100;40569;5434;8408;59767;44495;34626;39194;101267;3498;9428;36893;40701;101102;32668;33706;38358;38536;40283;42810;46931;47375;46975;54789;0;0;0;0;0;0;0;0;3;8;6;7;10;14;9;1;16;4;20;22;15;13;2;5;11;12;17;18;19;21;23;24;0;0;0;0;0;0;0;0;24
2;59897;35505;37967;101087;32139;104668;59965;7946;39206;101761;35508;35504;101086;745;39204;42808;106589;43054;116076;42657;39208;101091;111118;0;0;0;0;0;0;0;0;0;1;5;4;2;11;17;16;8;7;14;10;12;23;18;15;20;6;13;22;3;19;21;9;0;0;0;0;0;0;0;0;0;23
3;9534;44499;42353;116296;101028;32825;5404;40285;44355;9210;43177;59895;116140;34781;39441;112069;38789;116139;42918;101029;37477;37951;44498;0;0;0;0;0;0;0;0;0;1;4;15;23;3;8;18;17;10;7;9;12;21;5;22;2;19;6;11;14;20;16;13;0;0;0;0;0;0;0;0;0;23
4;32135;9541;63287;39755;37293;45134;34461;44560;38082;35496;39245;45458;59158;44564;44565;63467;101080;39237;43296;102952;103511;46511;112106;0;0;0;0;0;0;0;0;0;1;19;5;6;2;4;16;7;10;11;18;21;12;17;3;20;15;14;8;13;23;9;22;0;0;0;0;0;0;0;0;0;23
5;34827;40257;32385;41119;37201;40295;47431;45126;45268;106593;47287;36768;101355;47785;47238;45127;46531;61181;33700;3522;37094;100159;110638;0;0;0;0;0;0;0;0;0;1;16;5;2;3;14;4;17;7;8;9;23;13;6;12;22;11;21;18;10;15;19;20;0;0;0;0;0;0;0;0;0;23
6;34868;9060;34799;42535;59835;60627;9138;47433;107639;4522;109343;40990;44211;9133;47787;108696;43015;47542;110578;4526;32607;104226;44063;0;0;0;0;0;0;0;0;0;1;2;6;21;5;14;8;15;23;7;18;12;22;3;19;4;13;10;16;20;17;11;9;0;0;0;0;0;0;0;0;0;23
7;40571;8639;7329;57353;40425;38568;42556;4073;33237;59509;36877;2506;104105;35108;35876;42874;35110;40456;41082;41126;38567;43094;46666;0;0;0;0;0;0;0;0;0;1;3;15;20;18;5;22;6;21;11;19;23;13;4;2;14;16;12;8;10;9;7;17;0;0;0;0;0;0;0;0;0;23
8;8574;40340;45330;34750;60443;101334;32159;45023;42316;110718;38627;8662;42825;43076;46498;57207;47051;60906;37035;34611;100967;110626;40507;0;0;0;0;0;0;0;0;0;1;21;22;2;15;13;14;6;7;12;9;23;16;4;19;3;18;5;20;8;17;11;10;0;0;0;0;0;0;0;0;0;23
9;44383;38796;38264;34905;41046;44379;46647;57213;36998;40065;40122;42664;106754;6263;35532;37824;37827;59801;32578;42552;38845;44401;47788;0;0;0;0;0;0;0;0;0;1;2;23;5;4;7;15;18;10;14;9;12;13;3;16;8;6;19;11;22;20;21;17;0;0;0;0;0;0;0;0;0;23
10;39161;63332;44840;102912;38797;38499;36288;45393;3997;63489;109045;3222;38635;42375;114105;46850;45261;42440;40390;4918;46879;38491;106788;0;0;0;0;0;0;0;0;0;1;18;13;2;5;6;8;10;11;7;17;22;23;4;3;12;14;15;16;20;21;19;9;0;0;0;0;0;0;0;0;0;23
11;36627;59486;9602;32395;43467;30189;42424;40422;111032;36848;101875;59490;61676;46002;109126;114452;59496;60834;37095;34432;39473;36844;41063;0;0;0;0;0;0;0;0;0;1;22;20;2;13;11;10;23;14;17;7;21;12;8;4;5;6;3;16;15;18;19;9;0;0;0;0;0;0;0;0;0;23
12;983;5537;33079;100428;45299;3603;46003;37336;46235;41066;100607;40525;108279;33986;47190;102759;47011;37140;38366;40248;100117;33759;45051;0;0;0;0;0;0;0;0;0;1;15;19;22;2;16;10;6;7;11;9;14;12;3;23;5;8;4;13;18;20;17;21;0;0;0;0;0;0;0;0;0;23
13;45383;4556;45065;38013;107208;46564;36207;40836;104699;116060;102719;105061;110654;36203;45208;42446;43129;63605;116058;42448;116059;110656;116061;0;0;0;0;0;0;0;0;0;1;6;15;4;22;8;9;19;14;20;13;23;16;17;5;2;12;3;18;10;7;21;11;0;0;0;0;0;0;0;0;0;23
14;33185;40350;36769;109005;105084;40347;36770;40714;45946;38240;43040;45144;61672;41605;44685;105083;113296;45945;46825;102901;43042;60928;9341;0;0;0;0;0;0;0;0;0;1;17;5;18;3;6;8;13;7;10;19;12;22;4;2;16;15;21;14;20;9;11;23;0;0;0;0;0;0;0;0;0;23
15;9042;112433;103845;38054;58646;112432;32618;40150;40871;43450;60622;104289;116137;36807;45947;40154;32008;59547;38338;114111;47163;47076;105057;0;0;0;0;0;0;0;0;0;1;3;6;4;2;5;19;8;10;9;14;16;22;13;12;17;7;23;18;15;11;21;20;0;0;0;0;0;0;0;0;0;23
16;32844;107137;116065;46860;112178;40273;61079;113663;38576;59959;59992;57006;100133;45497;39356;116066;41034;43336;111227;44669;61075;110291;116064;0;0;0;0;0;0;0;0;0;1;3;5;14;15;6;8;18;11;7;9;22;12;4;2;13;10;17;21;16;23;20;19;0;0;0;0;0;0;0;0;0;23
17;101870;109123;35191;38765;104794;47551;38062;59973;101872;100992;38908;47550;113337;101845;101846;109911;102492;110959;107437;116226;43084;102730;116227;0;0;0;0;0;0;0;0;0;1;3;4;2;5;15;8;21;10;9;20;12;23;14;18;16;17;19;7;6;11;13;22;0;0;0;0;0;0;0;0;0;23
19;40937;42647;112093;39744;40936;44659;47374;35535;44328;58653;40002;9515;34437;100165;102749;58595;63437;59709;105076;112094;107106;59717;109161;0;0;0;0;0;0;0;0;0;1;15;2;20;13;10;19;16;11;7;9;12;22;4;18;3;6;8;5;21;17;14;23;0;0;0;0;0;0;0;0;0;23
