version;juego;plataforma;link;descripcion
v1.0;PES 2018;PS4;#;Option File completo para PES 2018 en PS4. Incluye escudos, kits y nombres reales de más de 500 equipos.
v1.0;PES 2018;PS3;#;Versión para PS3 del Option File PES 2018. Compatible con firmware 4.89 y superiores.
v1.2;PES 2019;PS4;#;Option File actualizado para PES 2019 PS4. Kits y plantillas de temporada 2018/19.
v1.0;PES 2019;PS3;#;Option File para PES 2019 en PS3. Incluye ligas europeas principales.
v2.0;PES 2020;PS4;#;Option File PES 2020 PS4 con ligas de Europa, América y Asia. Más de 600 equipos editados.
v1.5;PES 2021;PS4;#;Option File para PES 2021 Season Update. Compatible con parche 1.06.
v1.0;PES 2022;PC;#;Option File para eFootball 2022 en PC. Incluye equipos de licencia y parche de estadios.
v3.0;PES 2023;PS5;#;Option File para eFootball 2023 en PS5. Última versión con todos los kits actualizados.
v3.0;PES 2023;PS4;#;Option File para eFootball 2023 en PS4. Misma base que PS5, adaptado al formato PS4.
v1.0;PES 2024;PS5;#;Option File para eFootball 2024 en PS5. Primera versión oficial de la temporada 2023/24.
v1.0;PES 2025;PC;#;Option File para eFootball 2025 en PC. Incluye nuevas ligas y ediciones de plantillas.
v1.0;PES 2026;PS5;#;Option File para eFootball 2026 en PS5. Versión de lanzamiento con datos de pretemporada.
