Id;Name;JapName;Shirt;ShirtNational;Commentary;Country;Country2;Height;Weight;Age;Foot;PlayingStyle;POS;GK;CB;LB;RB;DMF;CMF;LMF;RMF;AMF;LWF;RWF;SS;CF;OffensiveAwareness;BallControl;Dribbling;TightPossession;LowPass;LoftedPass;Finishing;Heading;PlaceKicking;Curl;Speed;Acceleration;KickingPower;Jump;PhysicalContact;Balance;Stamina;DefensiveAwareness;BallWinning;Aggression;GKAwareness;GKCatching;GKClearing;GKReflexes;GKReach;WeakFootUsage;WeakFootAcc;Form;InjuryResistance;Reputation;PlayingAttitude;Trickster;MazingRun;SpeedingBullet;IncisiveRun;LongBallExpert;EarlyCross;LongRanger;ScissorsFeint;DoubleTouch;FlipFlap;MarseilleTurn;Sombrero;CrossOverTurn;CutBehindAndTurn;ScotchMove;StepOnSkillcontrol;HeadingSpecial;LongRangeDrive;Chipshotcontrol;LongRangeShot;KnuckleShot;DippingShots;RisingShots;AcrobaticFinishing;HeelTrick;FirstTimeShot;OneTouchPass;ThroughPassing;WeightedPass;PinpointCrossing;OutsideCurler;Rabona;NoLookPass;LowLoftedPass;GKLowPunt;GKHighPunt;LongThrow;GKLongThrow;PenaltySpecialist;GKPenaltySaver;Gamesmanship;ManMarking;TrackBack;Interception;AcrobaticClear;Captaincy;SuperSub;FightingSpirit;Celebration1;Celebration2;DribblingHunching;DribblingArmMove.;RunningHunching;RunningArmMovement;CornerKicks;FreeKicks;PenaltyKick;DribbleMotion;YouthClub;OwnerClub;ContractUntil;LoanUntil;MarketValue;NationalCaps;Legend;Hand;WinnerGoldenBall;EditName;EditBasics;EditPosition;EditPositions;EditAbilities;EditPlayerSkills;EditPlayingStyle;EditCOMPlayingStyles;EditMovements;Edit1;Edit2;Edit3;Edit4;Edit5;Edit6;Edit7;Value1;Value2;Value3;Value2020_1;Value2020_2;Appearance;ListBoots;ListGloves;InEditFile;OverallStats
745;A. HUGHES;アーロン ヒューズ;HUGHES;;-1;225;0;183;78;38;False;0;1;0;2;0;1;0;0;0;0;0;0;0;0;0;56;68;62;0;70;68;59;80;55;62;59;57;69;73;81;69;71;82;78;0;40;40;40;40;40;2;2;4;1;4;1;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;13;0;1;1;1;1;1;1;1;1;106;0;1/1/0001 00:00:00;1/1/0001 00:00:00;0;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0;0;-1;0;0;0;0;0;False;61
811;G. BARRY;ギャレス バリー;BARRY;;-1;204;0;183;78;36;True;8;4;0;1;1;0;2;2;1;1;1;0;0;0;0;68;77;69;0;80;77;67;72;76;74;63;67;79;74;79;68;70;78;76;0;40;40;40;40;40;2;3;7;2;6;1;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;True;4;0;3;1;3;5;1;1;1;1;107;0;1/1/0001 00:00:00;1/1/0001 00:00:00;0;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0;1;-1;0;0;0;0;0;False;67
817;M. OWEN;マイケル オーウェン;OWEN;;-1;204;0;173;70;19;False;1;12;0;0;0;0;0;0;0;0;0;0;0;1;2;86;84;86;0;75;57;89;76;60;70;88;90;82;79;60;85;78;46;41;0;40;40;40;40;40;2;2;6;1;7;1;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;10;0;2;1;2;6;1;1;1;1;0;0;1/1/0001 00:00:00;1/1/0001 00:00:00;0;0;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0;0;-1;0;0;0;0;0;False;75
830;QUIM;キム;QUIM;;-1;228;0;182;80;42;False;17;0;2;0;0;0;0;0;0;0;0;0;0;0;0;41;65;56;0;65;66;45;60;45;45;63;62;79;70;80;61;63;52;50;0;73;81;76;81;81;4;4;7;2;5;1;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;True;0;0;1;1;1;1;1;1;1;1;0;0;1/1/0001 00:00:00;1/1/0001 00:00:00;0;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0;1;-1;0;0;0;0;0;False;71
852;CASILLAS;イケル カシージャス;CASILLAS;;-1;236;0;185;84;36;True;16;0;2;0;0;0;0;0;0;0;0;0;0;0;0;58;65;64;0;70;74;56;70;58;69;71;68;82;86;86;62;70;69;62;0;89;82;82;91;90;1;2;5;1;8;2;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;43;0;1;1;1;3;1;1;1;1;109;0;1/1/0001 00:00:00;1/1/0001 00:00:00;0;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0;0;-1;0;0;0;0;0;False;82
873;ESTEBAN;エステバン;ESTEBAN;;-1;236;0;179;75;42;True;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;41;60;56;0;62;66;50;60;53;62;60;62;72;74;79;64;54;56;59;0;78;74;76;73;71;2;1;5;2;4;2;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;15;0;1;1;1;1;1;1;1;1;0;0;1/1/0001 00:00:00;1/1/0001 00:00:00;0;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0;1;-1;0;0;0;0;0;False;67
970;F. TOTTI;フランチェスコ トッティ;TOTTI;;-1;215;0;180;82;41;False;5;11;0;0;0;0;0;1;0;0;2;1;1;2;2;83;87;81;0;89;85;85;65;83;81;59;62;89;69;77;75;59;55;55;0;40;40;40;40;40;3;3;7;1;8;3;False;False;False;False;False;False;True;False;False;False;True;False;False;True;False;False;False;False;False;False;True;False;False;False;False;True;True;False;True;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;True;False;104;0;1;1;1;1;4;9;3;1;125;0;1/1/0001 00:00:00;1/1/0001 00:00:00;0;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0;11;-1;0;0;0;0;0;False;71
983;G. BUFFON;ジャンルイージ ブッフォン;BUFFON;;-1;215;0;191;94;39;False;17;0;2;0;0;0;0;0;0;0;0;0;0;0;0;40;65;66;0;70;77;45;70;60;45;60;60;80;80;81;70;65;65;55;0;98;89;98;93;98;2;2;7;3;8;2;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;True;2;0;1;1;1;1;1;2;1;1;123;0;1/1/0001 00:00:00;1/1/0001 00:00:00;0;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0;1;-1;0;0;0;0;0;False;89
1290;B. LOBONŢ;ボグダン ロボンツ;LOBONT;;-1;229;0;185;78;39;False;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;40;54;53;0;55;55;51;60;52;54;57;55;80;76;78;54;59;56;50;0;83;78;80;80;82;2;2;4;2;4;1;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0;0;1;1;1;1;1;1;1;1;0;0;1/1/0001 00:00:00;1/1/0001 00:00:00;0;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0;0;-1;0;0;0;0;0;False;74
1638;ZÉ ROBERTO;ゼ ロベルト;ZE ROBERTO;;-1;146;0;175;69;43;True;11;2;0;1;2;0;1;2;2;0;2;1;0;1;0;75;77;76;0;82;83;76;64;74;76;67;66;75;64;75;72;67;75;69;0;40;40;40;40;40;3;2;5;2;7;2;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;True;47;0;1;1;1;4;5;14;1;2;0;0;1/1/0001 00:00:00;1/1/0001 00:00:00;0;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0;3;-1;0;0;0;0;0;False;63
