id;nombre;posicion;x;y;posicion_inicial;x_inicial;y_inicial;posicion_con_balon;x_con_balon;y_con_balon;posicion_sin_balon;x_sin_balon;y_sin_balon
201101;Víctor Valdés;PT;50;91;PT;50;91;PT;50;91;PT;50;91
201102;Éric Abidal;LI;17;70;LI;17;70;DFC;23;73;LI;20;71
201103;Carles Puyol;DFC;39;73;DFC;39;73;DFC;50;77;DFC;39;74
201104;Gerard Piqué;DFC;61;75;DFC;61;75;DFC;77;75;DFC;61;76
201105;Dani Alves;LD;83;72;LD;83;72;MD;82;53;LD;80;73
201106;Sergio Busquets;MCD;50;61;MCD;50;61;MCD;48;59;MCD;50;63
201107;Andrés Iniesta;MC;35;56;MC;35;56;MI;18;37;MC;38;43
201108;Xavi Hernández;MC;65;55;MC;65;55;MC;62;53;MC;62;45
201109;David Villa;EI;18;23;EI;18;23;EI;18;21;MI;21;41
201110;Lionel Messi;DC;50;20;DC;50;20;SD;50;23;DC;50;22
201111;Pedro Rodríguez;ED;82;25;ED;82;25;ED;82;23;MD;79;43
