id;nombre;posicion;x;y;posicion_inicial;x_inicial;y_inicial;posicion_con_balon;x_con_balon;y_con_balon;posicion_sin_balon;x_sin_balon;y_sin_balon
121301;Manuel Neuer;PT;50;91;PT;50;91;PT;50;91;PT;50;91
121302;Philipp Lahm;LD;83;72;LD;83;72;MD;85;53;LD;80;73
121303;Jerome Boateng;DFC;61;75;DFC;61;75;DFC;61;75;DFC;61;76
121304;Dante;DFC;39;73;DFC;39;73;DFC;39;73;DFC;39;74
121305;David Alaba;LI;17;70;LI;17;70;MI;15;51;LI;20;71
121306;Javi Martínez;MCD;42;60;MCD;42;60;MCD;42;58;MC;42;58
121307;Bastian Schweinsteiger;MC;58;55;MC;58;55;MC;58;53;MC;58;57
121308;Arjen Robben;ED;82;25;ED;82;25;ED;85;23;MD;79;43
121309;Thomas Müller;MP;50;38;MP;50;38;MP;50;35;MP;50;40
121310;Franck Ribéry;EI;18;23;EI;18;23;EI;15;21;MI;21;41
121311;Mario Mandzukic;DC;50;20;DC;50;20;DC;50;18;DC;50;22
