id;nombre;posicion;x;y;posicion_inicial;x_inicial;y_inicial;posicion_con_balon;x_con_balon;y_con_balon;posicion_sin_balon;x_sin_balon;y_sin_balon
201501;Claudio Bravo;PT;50;91;PT;50;91;PT;50;91;PT;50;91
201502;Gary Medel;DFC;50;77;DFC;50;77;DFC;70;75;DFC;50;78
201503;Gonzalo Jara;DFC;70;75;DFC;70;75;DFC;50;77;DFC;66;76
201504;Francisco Silva;DFC;30;73;DFC;30;73;DFC;30;73;DFC;34;74
201505;Mauricio Isla;MD;82;55;MD;82;55;MD;85;39;LD;80;73
201506;Jean Beausejour;MI;18;53;MI;18;53;MI;15;37;LI;20;71
201507;Marcelo Díaz;MCD;52;61;MCD;52;61;MCD;42;58;MCD;50;63
201508;Charles Aránguiz;MC;38;56;MC;38;56;MC;58;53;MC;38;58
201509;Arturo Vidal;MP;50;38;MP;50;38;MP;50;35;MC;62;57
201510;Alexis Sánchez;SD;42;24;SD;42;24;SD;42;22;SD;42;26
201511;Eduardo Vargas;DC;58;21;DC;58;21;DC;58;19;DC;58;23
