id;nombre;posicion;x;y;posicion_inicial;x_inicial;y_inicial;posicion_con_balon;x_con_balon;y_con_balon;posicion_sin_balon;x_sin_balon;y_sin_balon
201801;Alisson;PT;50;91;PT;50;91;PT;50;91;PT;50;91
201802;Trent Alexander-Arnold;LD;83;70;LD;83;70;MD;85;51;LD;80;71
201803;Joe Gomez;DFC;61;73;DFC;61;73;DFC;61;73;DFC;61;74
201804;Virgil van Dijk;DFC;39;75;DFC;39;75;DFC;39;75;DFC;39;76
201805;Andrew Robertson;LI;17;72;LI;17;72;MI;15;53;LI;20;73
201806;Fabinho;MCD;50;61;MCD;50;61;MCD;50;59;MCD;50;63
201807;Jordan Henderson;MC;62;56;MC;62;56;MC;62;54;MC;62;58
201808;Georginio Wijnaldum;MC;38;55;MC;38;55;MC;38;53;MC;38;57
201809;Mohamed Salah;ED;82;23;ED;82;23;ED;85;21;MD;79;41
201810;Roberto Firmino;DC;50;20;DC;50;20;SD;50;23;DC;50;22
201811;Sadio Mané;EI;18;25;EI;18;25;EI;15;23;MI;21;43
