id;nombre;posicion;x;y;posicion_inicial;x_inicial;y_inicial;posicion_con_balon;x_con_balon;y_con_balon;posicion_sin_balon;x_sin_balon;y_sin_balon
10201;Iker Casillas;PT;50;91;PT;50;91;PT;50;91;PT;50;91
10202;Michel Salgado;LD;83;72;LD;83;72;MD;85;53;LD;80;73
10203;Fernando Hierro;DFC;61;75;DFC;61;75;DFC;61;75;DFC;61;76
10204;Iván Helguera;DFC;39;73;DFC;39;73;DFC;39;73;DFC;39;74
10205;Roberto Carlos;LI;17;70;LI;17;70;MI;15;51;LI;20;71
10206;Claude Makelele;MCD;42;60;MCD;42;60;MCD;42;58;MC;42;58
10207;Flavio Conceição;MC;58;55;MC;58;55;MC;58;53;MC;58;57
10208;Luis Figo;ED;82;25;ED;82;25;ED;85;23;MD;79;57
10209;Zinedine Zidane;MP;50;38;MP;50;38;MP;50;35;MP;50;40
10210;Santiago Solari;MI;18;39;MI;18;39;MI;15;37;MI;21;55
10211;Raúl;DC;50;20;DC;50;20;DC;50;18;DC;50;22
