id;nombre;posicion;x;y;posicion_inicial;x_inicial;y_inicial;posicion_con_balon;x_con_balon;y_con_balon;posicion_sin_balon;x_sin_balon;y_sin_balon
101;Francesco Antonioli;PT;50;91;PT;50;91;PT;50;91;PT;50;91
102;Jonathan Zebina;DFC;70;75;DFC;70;75;DFC;70;75;DFC;66;76
103;Walter Samuel;DFC;50;77;DFC;50;77;DFC;50;77;DFC;50;78
104;Aldair;DFC;30;73;DFC;30;73;DFC;30;73;DFC;34;74
105;Cafú;MD;82;55;MD;82;55;MD;85;39;LD;80;73
106;Vincent Candela;MI;18;53;MI;18;53;MI;15;37;LI;20;71
107;Emerson;MCD;42;60;MCD;42;60;MCD;42;58;MCD;50;63
108;Damiano Tommasi;MC;58;55;MC;58;55;MC;58;53;MC;62;57
109;Francesco Totti;MP;50;38;MP;50;38;MP;50;35;MP;50;40
110;Gabriel Batistuta;DC;58;21;DC;58;21;DC;58;19;DC;58;23
111;Vincenzo Montella;SD;42;24;SD;42;24;SD;42;22;MC;38;58
